from_id,knowledgeunit1,rel,knowledgeunit2,to_id,
194,云计算概念,先修,并行计算概述,176,
266,异构计算硬件环境,先修,并行计算概述,176,
270,OpenCL应用案例与分析,先修,并行计算概述,176,
196,虚拟化技术,先修,并行计算概述,176,
197,云计算应用开发,先修,并行计算概述,176,
195,云计算基础,先修,并行计算概述,176,
268,CUDA应用案例,先修,并行计算概述,176,
272,OpenACC案例分析,先修,并行计算概述,176,
271,OpenACC编程,先修,并行计算概述,176,
269,OpenCL编程,先修,并行计算概述,176,
265,异构计算概述,先修,并行计算概述,176,
267,CUDA编程,先修,并行计算概述,176,
271,OpenACC编程,先修,并行计算的性能评测,177,
265,异构计算概述,先修,并行计算的性能评测,177,
267,CUDA编程,先修,并行计算的性能评测,177,
269,OpenCL编程,先修,并行计算的性能评测,177,
194,云计算概念,先修,并行计算的性能评测,177,
270,OpenCL应用案例与分析,先修,并行计算的性能评测,177,
197,云计算应用开发,先修,并行计算的性能评测,177,
196,虚拟化技术,先修,并行计算的性能评测,177,
195,云计算基础,先修,并行计算的性能评测,177,
272,OpenACC案例分析,先修,并行计算的性能评测,177,
266,异构计算硬件环境,先修,并行计算的性能评测,177,
268,CUDA应用案例,先修,并行计算的性能评测,177,
268,CUDA应用案例,先修,并行计算硬件环境,178,
270,OpenCL应用案例与分析,先修,并行计算硬件环境,178,
269,OpenCL编程,先修,并行计算硬件环境,178,
265,异构计算概述,先修,并行计算硬件环境,178,
266,异构计算硬件环境,先修,并行计算硬件环境,178,
267,CUDA编程,先修,并行计算硬件环境,178,
271,OpenACC编程,先修,并行计算硬件环境,178,
197,云计算应用开发,先修,并行计算硬件环境,178,
194,云计算概念,先修,并行计算硬件环境,178,
196,虚拟化技术,先修,并行计算硬件环境,178,
195,云计算基础,先修,并行计算硬件环境,178,
272,OpenACC案例分析,先修,并行计算硬件环境,178,
271,OpenACC编程,先修,多线程并行程序设计,179,
267,CUDA编程,先修,多线程并行程序设计,179,
196,虚拟化技术,先修,多线程并行程序设计,179,
268,CUDA应用案例,先修,多线程并行程序设计,179,
265,异构计算概述,先修,多线程并行程序设计,179,
272,OpenACC案例分析,先修,多线程并行程序设计,179,
269,OpenCL编程,先修,多线程并行程序设计,179,
197,云计算应用开发,先修,多线程并行程序设计,179,
195,云计算基础,先修,多线程并行程序设计,179,
270,OpenCL应用案例与分析,先修,多线程并行程序设计,179,
266,异构计算硬件环境,先修,多线程并行程序设计,179,
194,云计算概念,先修,多线程并行程序设计,179,
268,CUDA应用案例,先修,OpenMP,180,
197,云计算应用开发,先修,OpenMP,180,
269,OpenCL编程,先修,OpenMP,180,
271,OpenACC编程,先修,OpenMP,180,
194,云计算概念,先修,OpenMP,180,
266,异构计算硬件环境,先修,OpenMP,180,
270,OpenCL应用案例与分析,先修,OpenMP,180,
272,OpenACC案例分析,先修,OpenMP,180,
195,云计算基础,先修,OpenMP,180,
265,异构计算概述,先修,OpenMP,180,
267,CUDA编程,先修,OpenMP,180,
196,虚拟化技术,先修,OpenMP,180,
196,虚拟化技术,先修,GPU编程,181,
267,CUDA编程,先修,GPU编程,181,
195,云计算基础,先修,GPU编程,181,
271,OpenACC编程,先修,GPU编程,181,
272,OpenACC案例分析,先修,GPU编程,181,
269,OpenCL编程,先修,GPU编程,181,
266,异构计算硬件环境,先修,GPU编程,181,
265,异构计算概述,先修,GPU编程,181,
197,云计算应用开发,先修,GPU编程,181,
270,OpenCL应用案例与分析,先修,GPU编程,181,
194,云计算概念,先修,GPU编程,181,
268,CUDA应用案例,先修,GPU编程,181,
197,云计算应用开发,先修,MPI分布式编程,182,
195,云计算基础,先修,MPI分布式编程,182,
266,异构计算硬件环境,先修,MPI分布式编程,182,
196,虚拟化技术,先修,MPI分布式编程,182,
271,OpenACC编程,先修,MPI分布式编程,182,
272,OpenACC案例分析,先修,MPI分布式编程,182,
267,CUDA编程,先修,MPI分布式编程,182,
265,异构计算概述,先修,MPI分布式编程,182,
269,OpenCL编程,先修,MPI分布式编程,182,
268,CUDA应用案例,先修,MPI分布式编程,182,
270,OpenCL应用案例与分析,先修,MPI分布式编程,182,
194,云计算概念,先修,MPI分布式编程,182,
272,OpenACC案例分析,先修,MPI多级混合编程,183,
196,虚拟化技术,先修,MPI多级混合编程,183,
266,异构计算硬件环境,先修,MPI多级混合编程,183,
269,OpenCL编程,先修,MPI多级混合编程,183,
195,云计算基础,先修,MPI多级混合编程,183,
270,OpenCL应用案例与分析,先修,MPI多级混合编程,183,
267,CUDA编程,先修,MPI多级混合编程,183,
271,OpenACC编程,先修,MPI多级混合编程,183,
268,CUDA应用案例,先修,MPI多级混合编程,183,
197,云计算应用开发,先修,MPI多级混合编程,183,
194,云计算概念,先修,MPI多级混合编程,183,
265,异构计算概述,先修,MPI多级混合编程,183,
267,CUDA编程,先修,MapReduce编程,184,
265,异构计算概述,先修,MapReduce编程,184,
195,云计算基础,先修,MapReduce编程,184,
268,CUDA应用案例,先修,MapReduce编程,184,
272,OpenACC案例分析,先修,MapReduce编程,184,
271,OpenACC编程,先修,MapReduce编程,184,
194,云计算概念,先修,MapReduce编程,184,
196,虚拟化技术,先修,MapReduce编程,184,
270,OpenCL应用案例与分析,先修,MapReduce编程,184,
269,OpenCL编程,先修,MapReduce编程,184,
197,云计算应用开发,先修,MapReduce编程,184,
266,异构计算硬件环境,先修,MapReduce编程,184,
267,CUDA编程,先修,并行程序设计方法学,185,
272,OpenACC案例分析,先修,并行程序设计方法学,185,
194,云计算概念,先修,并行程序设计方法学,185,
197,云计算应用开发,先修,并行程序设计方法学,185,
269,OpenCL编程,先修,并行程序设计方法学,185,
270,OpenCL应用案例与分析,先修,并行程序设计方法学,185,
271,OpenACC编程,先修,并行程序设计方法学,185,
268,CUDA应用案例,先修,并行程序设计方法学,185,
265,异构计算概述,先修,并行程序设计方法学,185,
196,虚拟化技术,先修,并行程序设计方法学,185,
195,云计算基础,先修,并行程序设计方法学,185,
266,异构计算硬件环境,先修,并行程序设计方法学,185,
271,OpenACC编程,先修,Spark编程,186,
272,OpenACC案例分析,先修,Spark编程,186,
265,异构计算概述,先修,Spark编程,186,
196,虚拟化技术,先修,Spark编程,186,
266,异构计算硬件环境,先修,Spark编程,186,
269,OpenCL编程,先修,Spark编程,186,
270,OpenCL应用案例与分析,先修,Spark编程,186,
194,云计算概念,先修,Spark编程,186,
267,CUDA编程,先修,Spark编程,186,
197,云计算应用开发,先修,Spark编程,186,
195,云计算基础,先修,Spark编程,186,
268,CUDA应用案例,先修,Spark编程,186,
265,异构计算概述,先修,PCAM方法学,187,
270,OpenCL应用案例与分析,先修,PCAM方法学,187,
194,云计算概念,先修,PCAM方法学,187,
271,OpenACC编程,先修,PCAM方法学,187,
267,CUDA编程,先修,PCAM方法学,187,
269,OpenCL编程,先修,PCAM方法学,187,
266,异构计算硬件环境,先修,PCAM方法学,187,
196,虚拟化技术,先修,PCAM方法学,187,
197,云计算应用开发,先修,PCAM方法学,187,
268,CUDA应用案例,先修,PCAM方法学,187,
272,OpenACC案例分析,先修,PCAM方法学,187,
195,云计算基础,先修,PCAM方法学,187,
657,连续时间信号与系统的频域分析（傅里叶变换）,先修,问题求解,201,
655,信号与系统的概念,先修,问题求解,201,
658,离散时间信号与系统的频域分析,先修,问题求解,201,
656,连续系统的时域分析,先修,问题求解,201,
659,连续时间信号与系统的复频域分析（拉普拉斯变换）,先修,问题求解,201,
659,连续时间信号与系统的复频域分析（拉普拉斯变换）,先修,逻辑与推理,202,
658,离散时间信号与系统的频域分析,先修,逻辑与推理,202,
656,连续系统的时域分析,先修,逻辑与推理,202,
655,信号与系统的概念,先修,逻辑与推理,202,
657,连续时间信号与系统的频域分析（傅里叶变换）,先修,逻辑与推理,202,
659,连续时间信号与系统的复频域分析（拉普拉斯变换）,先修,人工智能知识表示,203,
656,连续系统的时域分析,先修,人工智能知识表示,203,
658,离散时间信号与系统的频域分析,先修,人工智能知识表示,203,
655,信号与系统的概念,先修,人工智能知识表示,203,
