from_id,knowledgeunit1,rel,knowledgeunit2,to_id,
519,软件过程结构,同修,并行计算概述,176,
187,PCAM方法学,同修,并行计算概述,176,
345,嵌入式处理器,同修,并行计算概述,176,
495,空间域图像增强,同修,并行计算概述,176,
635,文本表示学习,同修,并行计算概述,176,
183,MPI多级混合编程,同修,并行计算概述,176,
371,可信计算的应用,同修,并行计算概述,176,
493,图像处理概述,同修,并行计算概述,176,
654,情感计算研究热点介绍,同修,并行计算概述,176,
370,可信对系统安全的支撑,同修,并行计算概述,176,
633,序列标注,同修,并行计算概述,176,
452,进程与线程，死锁,同修,并行计算概述,176,
652,情感生成与合成及其在人机交互领域的应用,同修,并行计算概述,176,
616,以太坊与智能合约,同修,并行计算概述,176,
585,服务调用链日志跟踪,同修,并行计算概述,176,
518,软件的本质,同修,并行计算概述,176,
363,定位技术,同修,并行计算概述,176,
473,约束和触发器,同修,并行计算概述,176,
267,CUDA编程,同修,并行计算概述,176,
244,处理器,同修,并行计算概述,176,
651,情感感知与识别及其应用,同修,并行计算概述,176,
586,分布式数据访问平台,同修,并行计算概述,176,
529,维护与再工程,同修,并行计算概述,176,
265,异构计算概述,同修,并行计算概述,176,
614,密码学基础,同修,并行计算概述,176,
751,物联网应用层安全,同修,并行计算概述,176,
269,OpenCL编程,同修,并行计算概述,176,
498,图像分割,同修,并行计算概述,176,
243,指令：计算机的语言,同修,并行计算概述,176,
613,区块链中的分布式系统问题,同修,并行计算概述,176,
527,项目进度安排,同修,并行计算概述,176,
668,逻辑程序,同修,并行计算概述,176,
666,可满足性求解,同修,并行计算概述,176,
365,无线接入,同修,并行计算概述,176,
212,软件设计基础,同修,并行计算概述,176,
179,多线程并行程序设计,同修,并行计算概述,176,
184,MapReduce编程,同修,并行计算概述,176,
182,MPI分布式编程,同修,并行计算概述,176,
650,情感模型介绍,同修,并行计算概述,176,
200,邱奇图灵论题,同修,并行计算概述,176,
246,指令级并行,同修,并行计算概述,176,
271,OpenACC编程,同修,并行计算概述,176,
360,物联网的概述,同修,并行计算概述,176,
649,情感计算概述,同修,并行计算概述,176,
453,内存管理,同修,并行计算概述,176,
364,互联网和移动互联网,同修,并行计算概述,176,
662,媒体语义理解,同修,并行计算概述,176,
521,敏捷开发,同修,并行计算概述,176,
583,微服务架构,同修,并行计算概述,176,
566,参数曲线和曲面,同修,并行计算概述,176,
361,自动识别技术与RFID,同修,并行计算概述,176,
478,并发控制,同修,并行计算概述,176,
247,从客户端到云的并行处理器,同修,并行计算概述,176,
663,视频分析与处理,同修,并行计算概述,176,
366,物联网前沿,同修,并行计算概述,176,
368,可信计算理论基础,同修,并行计算概述,176,
520,过程模型,同修,并行计算概述,176,
526,软件项目估算,同修,并行计算概述,176,
477,数据库恢复,同修,并行计算概述,176,
636,自然语言处理高级应用,同修,并行计算概述,176,
430,贪心法,同修,并行计算概述,176,
471,关系数据库设计理论,同修,并行计算概述,176,
749,物联网中的加、解密机制,同修,并行计算概述,176,
468,数据库系统世界（概述）,同修,并行计算概述,176,
475,服务器环境下的SQL,同修,并行计算概述,176,
589,企业及微服务架构,同修,并行计算概述,176,
