course_id,course,rel,major,major_id
3,毕业设计（计算机）,适用专业,计算机科学与技术,2957
4,虚拟化技术与云计算,适用专业,软件工程,2958
5,形式语言与自动机,适用专业,计算机科学与技术,2957
7,网络安全,适用专业,网络空间安全,2959
8,软件工程,适用专业,计算机科学与技术,2957
10,图像处理（计算机）,适用专业,计算机科学与技术,2957
12,计算机组成与体系结构,适用专业,计算机科学与技术,2957
13,量子信息与量子智能,适用专业,计算机科学与技术,2957
13,量子信息与量子智能,适用专业,人工智能,3460
14,自然语言处理基础,适用专业,计算机科学与技术,2957
14,自然语言处理基础,适用专业,软件工程,2958
14,自然语言处理基础,适用专业,人工智能,3460
15,异构计算,适用专业,计算机科学与技术,2957
15,异构计算,适用专业,软件工程,2958
16,计算机图形学,适用专业,计算机科学与技术,2957
18,软件体系结构,适用专业,软件工程,2958
19,大数据分析理论与方法,适用专业,计算机科学与技术,2957
20,高等计算机体系结构,适用专业,计算机科学与技术,2957
21,模式识别与深度学习,适用专业,计算机科学与技术,2957
22,统计分析基础,适用专业,计算机科学与技术,2957
23,智能检索与问答,适用专业,计算机科学与技术,2957
24,心理与行为计算,适用专业,计算机科学与技术,2957
24,心理与行为计算,适用专业,人工智能,3460
24,心理与行为计算,适用专业,网络安全,2958
25,嵌入式系统（翻转）,适用专业,计算机科学与技术,2957
26,智能计算系统,适用专业,计算机科学与技术,2957
27,物联网基础,适用专业,计算机科学与技术,2957
28,可信计算,适用专业,网络空间安全,2959
29,可视语言与信息可视化,适用专业,软件工程,2958
30,知识图谱,适用专业,软件工程,2958
31,计算机视觉技术,适用专业,计算机科学与技术,2957
32,综合实训,适用专业,计算机科学与技术,2957
34,计算机系统导论,适用专业,计算机科学与技术,2957
34,计算机系统导论,适用专业,软件工程,2958
34,计算机系统导论,适用专业,网络空间安全,2959
34,计算机系统导论,适用专业,人工智能,3460
35,程序设计原理,适用专业,计算机科学与技术,2957
35,程序设计原理,适用专业,软件工程,2958
35,程序设计原理,适用专业,人工智能,3460
35,程序设计原理,适用专业,网络安全,2958
36,算法设计与分析,适用专业,计算机科学与技术,2957
36,算法设计与分析,适用专业,软件工程,2958
37,数据结构,适用专业,计算机科学与技术,2957
37,数据结构,适用专业,软件工程,2958
37,数据结构,适用专业,人工智能,3460
37,数据结构,适用专业,网络安全,2958
38,程序设计综合实践,适用专业,计算机科学与技术,2957
38,程序设计综合实践,适用专业,软件工程,2958
38,程序设计综合实践,适用专业,人工智能,3460
38,程序设计综合实践,适用专业,网络安全,2958
39,计算机系统基础,适用专业,计算机科学与技术,2957
39,计算机系统基础,适用专业,软件工程,2958
39,计算机系统基础,适用专业,人工智能,3460
