from_id,course1,rel,course2,to_id
1,并行计算,先修,操作系统原理,41
1,并行计算,先修,计算机系统基础,39
1,并行计算,先修,数据结构,37
2,离散数学B,先修,离散数学,33
4,虚拟化技术与云计算,先修,数据结构,37
4,虚拟化技术与云计算,先修,计算机组成原理,12
4,虚拟化技术与云计算,先修,操作系统,1
5,形式语言与自动机,先修,程序设计原理,35
5,形式语言与自动机,先修,离散数学,33
5,形式语言与自动机,先修,数据结构,37
5,形式语言与自动机,先修,算法设计与分析,36
7,网络安全,先修,程序设计原理,35
8,软件工程,先修,操作系统原理,41
8,软件工程,先修,计算机网络,45
8,软件工程,先修,程序设计语言,67
8,软件工程,先修,算法与数据结构,36
8,软件工程,先修,数据库原理,44
10,图像处理（计算机）,先修,信号与系统,78
11,生物信息学,先修,算法分析与设计,43
11,生物信息学,先修,机器学习,72
12,计算机组成与体系结构,先修,数字逻辑与数字系统,43
12,计算机组成与体系结构,先修,计算机系统基础,39
13,量子信息与量子智能,先修,离散数学,33
14,自然语言处理基础,先修,统计分析基础,22
14,自然语言处理基础,先修,数据挖掘,9
15,异构计算,先修,并行计算,1
15,异构计算,先修,操作系统,1
15,异构计算,先修,数据结构,37
16,计算机图形学,先修,程序设计原理,35
17,编译原理技术,先修,汇编语言,20
18,软件体系结构,先修,软件工程,8
20,高等计算机体系结构,先修,计算机组成与体系结构,12
21,模式识别与深度学习,先修,离散数学,33
21,模式识别与深度学习,先修,概率论,19
22,统计分析基础,先修,生物信息学,11
22,统计分析基础,先修,数据挖掘,9
23,智能检索与问答,先修,统计分析基础,22
23,智能检索与问答,先修,数据挖掘,9
25,嵌入式系统（翻转）,先修,数字逻辑与数字系统,43
25,嵌入式系统（翻转）,先修,计算机系统基础,39
25,嵌入式系统（翻转）,先修,计算机组成与体系结构,12
26,智能计算系统,先修,数字逻辑与数字系统,43
27,物联网基础,先修,数字逻辑与数字系统,43
27,物联网基础,先修,数据结构,37
28,可信计算,先修,密码学原理与实践,91
28,可信计算,先修,计算机系统基础,39
28,可信计算,先修,计算机组成与体系结构,12
28,可信计算,先修,操作系统原理,41
28,可信计算,先修,信息安全数学基础,88
29,可视语言与信息可视化,先修,计算机图形学,16
30,知识图谱,先修,知识工程,75
31,计算机视觉技术,先修,图像处理,52
36,算法设计与分析,先修,数据结构,37
36,算法设计与分析,先修,计算机系统基础,39
36,算法设计与分析,先修,编译原理技术,17
37,数据结构,先修,离散数学,33
38,程序设计综合实践,先修,程序设计原理,35
39,计算机系统基础,先修,程序设计原理,35
40,计算机系统综合实践,先修,程序设计原理,35
40,计算机系统综合实践,先修,数据结构,37
40,计算机系统综合实践,先修,计算机系统基础,39
41,操作系统原理,先修,程序设计原理,35
41,操作系统原理,先修,数据结构,37
41,操作系统原理,先修,计算机系统基础,39
44,数据库原理,先修,程序设计原理,35
44,数据库原理,先修,离散数学,33
44,数据库原理,先修,数据结构,37
44,数据库原理,先修,算法设计与分析,36
45,计算机网络,先修,程序设计语言,67
45,计算机网络,先修,数据结构,37
46,设计模式,先修,程序设计原理,35
