from_id,course1,rel,course2,to_id
1,并行计算,同修,计算机网络,45
4,虚拟化技术与云计算,同修,并行计算,1
6,人工智能基础,同修,程序设计原理,35
11,生物信息学,同修,并行计算,1
15,异构计算,同修,计算机网络,45
23,智能检索与问答,同修,心理与行为计算,24
27,物联网基础,同修,数据库原理,44
28,可信计算,同修,信息安全数学基础,88
29,可视语言与信息可视化,同修,数据挖掘,9
39,计算机系统基础,同修,编译原理技术,17
44,数据库原理,同修,编译原理技术,17
45,计算机网络,同修,操作系统原理,41
47,程序设计初级实践,同修,面向对象程序设计,50
48,程序设计中级实践,同修,设计模式,46
57,软件工程2（双语）,同修,软件工程1（双语）,56
60,计算机图形技术,同修,图像处理（软件工程）,52
60,计算机图形技术,同修,图像处理（计算机）,10
74,认知科学导论,同修,机器学习,72
75,知识工程,同修,人工智能基础,6
85,逻辑与形式化方法,同修,数据结构,37
86,安全软件工程,同修,软件安全,92
93,密码学综合实践,同修,密码学原理与实践,91
95,物联网安全,同修,可信计算,28
45,计算机网络,同修,并行计算,1
1,并行计算,同修,虚拟化技术与云计算,4
35,程序设计原理,同修,人工智能基础,6
1,并行计算,同修,生物信息学,11
45,计算机网络,同修,异构计算,15
24,心理与行为计算,同修,智能检索与问答,23
44,数据库原理,同修,物联网基础,27
88,信息安全数学基础,同修,可信计算,28
9,数据挖掘,同修,可视语言与信息可视化,29
17,编译原理技术,同修,计算机系统基础,39
17,编译原理技术,同修,数据库原理,44
41,操作系统原理,同修,计算机网络,45
50,面向对象程序设计,同修,程序设计初级实践,47
46,设计模式,同修,程序设计中级实践,48
56,软件工程1（双语）,同修,软件工程2（双语）,57
52,图像处理（软件工程）,同修,计算机图形技术,60
10,图像处理（计算机）,同修,计算机图形技术,60
72,机器学习,同修,认知科学导论,74
6,人工智能基础,同修,知识工程,75
37,数据结构,同修,逻辑与形式化方法,85
92,软件安全,同修,安全软件工程,86
91,密码学原理与实践,同修,密码学综合实践,93
28,可信计算,同修,物联网安全,95
