from_id,course,rel,teacher,to_id
1,并行计算,teached,汤善江,98
2,离散数学B,teached,曲日,99
4,虚拟化技术与云计算,teached,赵来平,100
6,人工智能基础,teached,廖士中,101
8,软件工程,teached,饶国政,102
9,数据挖掘,teached,杨柳,103
10,图像处理（计算机）,teached,李坤,105
10,图像处理（计算机）,teached,冯伟,104
11,生物信息学,teached,宫秀军,106
12,计算机组成与体系结构,teached,张钢,107
13,量子信息与量子智能,teached,曲日,99
13,量子信息与量子智能,teached,侯越先,108
14,自然语言处理基础,teached,孙越恒,109
15,异构计算,teached,汤善江,98
16,计算机图形学,teached,刘世光,110
16,计算机图形学,teached,徐庆,111
17,编译原理技术,teached,胡静,112
18,软件体系结构,teached,吴洪越,113
19,大数据分析理论与方法,teached,王晓飞,114
20,高等计算机体系结构,teached,魏继增,115
21,模式识别与深度学习,teached,林迪,116
21,模式识别与深度学习,teached,冯伟,104
22,统计分析基础,teached,郭菲,117
23,智能检索与问答,teached,张鹏,118
24,心理与行为计算,teached,王博,119
25,嵌入式系统（翻转）,teached,车明,120
26,智能计算系统,teached,毕重科,121
27,物联网基础,teached,仇超,122
27,物联网基础,teached,王晓飞,114
28,可信计算,teached,许光全,123
29,可视语言与信息可视化,teached,牛志斌,124
30,知识图谱,teached,谢宗霞,125
31,计算机视觉技术,teached,李坤,105
32,综合实训,teached,王建荣,126
33,离散数学,teached,曲日,99
33,离散数学,teached,王博,119
33,离散数学,teached,苏苒,127
33,离散数学,teached,刘健,128
34,计算机系统导论,teached,孙济洲,129
34,计算机系统导论,teached,李克秋,130
35,程序设计原理,teached,王建荣,126
35,程序设计原理,teached,喻梅,132
35,程序设计原理,teached,孙倩,131
36,算法设计与分析,teached,王征,133
37,数据结构,teached,李晓红,170
37,数据结构,teached,喻梅,132
38,程序设计综合实践,teached,王建荣,126
38,程序设计综合实践,teached,喻梅,132
38,程序设计综合实践,teached,赵满坤,135
39,计算机系统基础,teached,李幼萌,136
40,计算机系统综合实践,teached,魏继增,115
41,操作系统原理,teached,李罡,144
41,操作系统原理,teached,吴虎统,137
41,操作系统原理,teached,邱铁,138
42,计算机产业前沿与创新创业,teached,魏建国,139
43,数字逻辑与数字系统,teached,魏继增,115
44,数据库原理,teached,王鑫,140
44,数据库原理,teached,陈世展,141
44,数据库原理,teached,李森,142
45,计算机网络,teached,赵增华,143
46,设计模式,teached,李罡,144
47,程序设计初级实践,teached,李罡,144
48,程序设计中级实践,teached,李罡,144
49,程序设计高级实践,teached,李罡,144
50,面向对象程序设计,teached,陈锦言,145
51,人工智能,teached,郝建业,146
52,图像处理（软件工程）,teached,李亮,147
53,毕业设计（软件工程）,teached,李春,148
54,自然语言处理导论,teached,潘刚,149
55,专业外语（全英文）,teached,吕绪康,150
55,专业外语（全英文）,teached,李杰,151
56,软件工程1（双语）,teached,冯志勇,152
57,软件工程2（双语）,teached,徐超,153
58,形式化方法（双语）,teached,路文焕,154
59,软件测试技术,teached,王赞,155
60,计算机图形技术,teached,万亮,156
61,软件项目管理（双语）,teached,王赞,155
62,架构驱动的软件开发实践,teached,薛霄,157
63,数据仓库与数据挖掘,teached,谢宗霞,125
17,编译原理与技术,teached,刘爽,158
64,深度强化学习,teached,翁仲铭,159
65,软件工程综合实践,teached,李幼萌,136
66,程序设计写作实践,teached,胡静,112
67,计算机视觉,teached,李亮,147
68,区块链技术,teached,应翔,160
69,虚拟现实技术,teached,翁仲铭,159
70,综合实训（软件工程）,teached,王建荣,126
72,自然语言处理,teached,贺瑞芳,161
73,认知科学导论,teached,张高燕,162
74,知识工程,teached,张小旺,163
75,机器学习综合实践,teached,胡清华,164
75,机器学习综合实践,teached,杨柳,103
76,情感计算,teached,刘志磊,165
77,信号与系统,teached,石红,166
78,知识工程综合实践,teached,张小旺,163
78,知识工程综合实践,teached,王鑫,140
79,媒体计算,teached,韩亚洪,167
80,知识表示与推理,teached,章衡,168
81,计算机视觉与模式识别,teached,张长青,169
82,信息检索与智能问答,teached,贺瑞芳,161
83,人工智能数据基础,teached,王鑫,140
84,逻辑与形式化方法,teached,章衡,168
85,安全软件工程,teached,李晓红,170
87,信息安全数学基础,teached,孙达志,171
88,网络协议分析与设计,teached,张朝昆,172
89,信息系统安全,teached,鲁艳蓉,173
90,密码学原理与实践,teached,孙达志,171
91,软件安全,teached,王俊杰,174
92,密码学综合实践,teached,孙达志,171
93,逆向工程分析技术,teached,张亚平,175
94,物联网安全,teached,许光全,123
95,信息系统安全综合实践,teached,鲁艳蓉,173
