course_id,course,rel,textbook,textbook_id
1,并行计算,reference,《并行程序设计原理》,2956
2,离散数学B,reference,《离散数学》,2911
4,虚拟化技术与云计算,reference,《云计算与分布式系统：从并行处理到物联网》,2952
5,形式语言与自动机,reference,《Introduction to the Theory of Computation. By Michael Sipser》,2888
6,人工智能基础,reference,《人工智能》,2917
7,网络安全,reference,《网络安全基础》,2939
8,软件工程,reference,《软件工程：实践者的研究方法》,2920
9,数据挖掘,reference,《数据挖掘－概念与技术》,2930
10,图像处理（计算机）,reference,《数字图像处理（第二版）》,2932
11,生物信息学,reference,《Bioinformatics: Sequence and Genome Analysis》,2879
12,计算机组成与体系结构,reference,《计算机组成与设计——硬件/软件接口（第5版）》,2907
13,量子信息与量子智能,reference,《Quantum Computation and Quantum Information》,2896
14,自然语言处理基础,reference,《统计自然语言处理》,2936
15,异构计算,reference,《OpenACC编程编程实战》,2894
16,计算机图形学,reference,《计算机图形学应用基础》,2906
17,编译原理技术,reference,《程序设计语言编译原理（第3版）》,2898
18,软件体系结构,reference,《软件体系结构（第2版）》,2922
19,大数据分析理论与方法,reference,《大数据》,2899
20,高等计算机体系结构,reference,《现代处理器设计——超标量处理器基础》,2945
21,模式识别与深度学习,reference,《Pattern Recognition and Machine Learning》,2895
22,统计分析基础,reference,《统计学习方法》,2935
23,智能检索与问答,reference,《统计自然语言处理》,2936
25,嵌入式系统（翻转）,reference,《嵌入式系统》,2914
26,智能计算系统,reference,《智能计算系统》,2955
27,物联网基础,reference,《物联网导论（第三版）》,2943
28,可信计算,reference,《可信计算3.0工程初步（第二版）》,2909
29,可视语言与信息可视化,reference,《数据可视化的基本原理与方法》,2928
30,知识图谱,reference,《知识图谱：概念与技术》,2953
31,计算机视觉技术,reference,《计算机视觉：算法与应用》,2904
33,离散数学,reference,《离散数学》,2911
35,程序设计原理,reference,《Introduction to Programming with C++》,2886
36,算法设计与分析,reference,《Data Structures》,2882
37,数据结构,reference,《数据结构（C语言版）》,2927
38,程序设计综合实践,reference,《ACM/ICPC算法基础训练教程》,2876
39,计算机系统基础,reference,《深入理解计算机系统（原书第3版）》,2926
40,计算机系统综合实践,reference,《NEMU实验手册》,2893
41,操作系统原理,reference,《现代操作系统（原书第四版）》,2944
43,数字逻辑与数字系统,reference,《数字设计和计算机体系结构》（第二版）,2931
44,数据库原理,reference,《A First Course in Database Systems》,2875
45,计算机网络,reference,《Computer Networking: A Top Down Approach》,2880
46,设计模式,reference,《图解设计模式》,2938
47,程序设计初级实践,reference,《Java语言程序设计与数据结构（基础篇）（原书第11版）》,2891
48,程序设计中级实践,reference,《Java编程思想（第4版）》,2889
49,程序设计高级实践,reference,《火球：UML大战需求分析》,2902
50,面向对象程序设计,reference,《Java程序设计》,2890
51,人工智能,reference,《Artificial Intelligence A Modern Approach》,2878
52,图像处理（软件工程）,reference,《数字图像处理（原书第三版）》,2933
53,毕业设计（软件工程）,reference,《天津大学关于“毕业设计（论文）”的有关管理规定》,2934
54,自然语言处理导论,reference,《多语自然语言处理》,2901
56,软件工程1（双语）,reference,《软件工程：实践者的研究方法》,2920
57,软件工程2（双语）,reference,《UML和模式应用：面向对象分析和设计导论（第三版）》,2897
58,形式化方法（双语）,reference,《Formal  Specification  Using  Z  (2nd  Edition)》,2883
59,软件测试技术,reference,《Introduction to Software Testing (second edition)》,2887
61,软件项目管理（双语）,reference,《软件项目管理与素质拓展》,2924
62,架构驱动的软件开发实践,reference,《大型企业微服务架构实践与运营》,2900
63,数据仓库与数据挖掘,reference,《数据挖掘概念与技术（原书第三版）》,2929
17,编译原理与技术,reference,《程序设计语言编译原理（第3版）》,2898
64,深度强化学习,reference,《 Hands-On Reinforcement Learning with Python：Master Reinforcement and Deep Reinforcement Learning Using OperAl Gym and TensorFlow》,2874
65,软件工程综合实践,reference,《Intel凌动平台嵌入式应用与实践》,2884
66,程序设计写作实践,reference,《软件文档》,2923
67,计算机视觉,reference,《计算机视觉基础》,2905
69,虚拟现实技术,reference,《虚拟现实概论》,2950
71,机器学习,reference,《机器学习导论》,2903
72,自然语言处理,reference,《统计自然语言处理基础》,2937
73,认知科学导论,reference,《脑与认知科学概论》,2913
74,知识工程,reference,《知识图谱：概念与技术》,2953
75,机器学习综合实践,reference,《机器学习导论》,2903
76,情感计算,reference,《情感计算》,2915
77,信号与系统,reference,《信号与线性系统》,2946
78,知识工程综合实践,reference,《知识图谱》,2954
79,媒体计算,reference,《媒体计算与内容分析》,2912
80,知识表示与推理,reference,《Knowledge Representation and Reasoning》,2892
81,计算机视觉与模式识别,reference,《Computer Vision: Models》,2881
82,信息检索与智能问答,reference,《信息检索系统导论》,2948
83,人工智能数据基础,reference,《离散数学》,2911
84,逻辑与形式化方法,reference,《软件形式规格说明语言》,2925
85,安全软件工程,reference,《软件安全工程》,2919
86,网络安全综合设计,reference,《网络安全实验教程》,2940
87,信息安全数学基础,reference,《信息安全数学基础》,2947
88,网络协议分析与设计,reference,《网络协议分析（第2版）》,2941
89,信息系统安全,reference,《信息系统与安全对抗理论（第2版）》,2949
91,软件安全,reference,《软件安全分析与应用》,2918
92,密码学综合实践,reference,《开放实验云平台U-SaaS信息安全专业课程》,2908
93,逆向工程分析技术,reference,《软件逆向工程原理与实践》,2921
94,物联网安全,reference,《物联网安全导论》,2942
97,项目制实践2,reference,《ANTLR 4权威指南》,2877
