from_id,course,rel,knowledgeunit,to_id
1,并行计算,contain,并行计算概述,176
1,并行计算,contain,并行计算的性能评测,177
1,并行计算,contain,并行计算硬件环境,178
1,并行计算,contain,多线程并行程序设计,179
1,并行计算,contain,OpenMP,180
1,并行计算,contain,GPU编程,181
1,并行计算,contain,MPI分布式编程,182
1,并行计算,contain,MPI多级混合编程,183
1,并行计算,contain,MapReduce编程,184
1,并行计算,contain,并行程序设计方法学,185
1,并行计算,contain,Spark编程,186
1,并行计算,contain,PCAM方法学,187
2,离散数学B,contain,构造性逻辑,188
2,离散数学B,contain,布尔代数,189
2,离散数学B,contain,图与网络流,190
2,离散数学B,contain,图的连通性,191
2,离散数学B,contain,图的支配、覆盖、独立与匹配,192
2,离散数学B,contain,图谱与复杂网络,193
4,虚拟化技术与云计算,contain,云计算概念,194
4,虚拟化技术与云计算,contain,云计算基础,195
4,虚拟化技术与云计算,contain,虚拟化技术,196
4,虚拟化技术与云计算,contain,云计算应用开发,197
5,形式语言与自动机,contain,正则语言,198
5,形式语言与自动机,contain,上下文无关语言,199
5,形式语言与自动机,contain,邱奇图灵论题,200
6,人工智能基础,contain,问题求解,201
6,人工智能基础,contain,逻辑与推理,202
6,人工智能基础,contain,人工智能知识表示,203
6,人工智能基础,contain,智能主体,204
6,人工智能基础,contain,机器学习,205
7,网络安全,contain,网络安全概念,206
7,网络安全,contain,密码学,207
7,网络安全,contain,网络安全应用,208
7,网络安全,contain,网络攻防技术,209
8,软件工程,contain,软件与软件工程,210
8,软件工程,contain,需求分析基础,211
8,软件工程,contain,软件设计基础,212
8,软件工程,contain,程序设计语言和编码,213
8,软件工程,contain,软件测试,214
8,软件工程,contain,软件维护,215
8,软件工程,contain,面向对象的需求分析,216
8,软件工程,contain,面向对象的设计方法,217
9,数据挖掘,contain,数据挖掘概述,218
9,数据挖掘,contain,数据挖掘认识数据,219
9,数据挖掘,contain,数据挖掘数据预处理,220
9,数据挖掘,contain,数据仓库与联机分析处理,221
9,数据挖掘,contain,关联规则,222
9,数据挖掘,contain,数据挖掘分类,223
9,数据挖掘,contain,数据挖掘聚类,224
9,数据挖掘,contain,回归分析,225
10,图像处理（计算机）,contain,图像的基本概念,226
10,图像处理（计算机）,contain,彩色图像处理,227
10,图像处理（计算机）,contain,图像采集技术——摄影,228
10,图像处理（计算机）,contain,图像的几何变换与点变换,229
10,图像处理（计算机）,contain,图像的频域变换,230
10,图像处理（计算机）,contain,基于图像的建模技术,231
10,图像处理（计算机）,contain,3DTV中的场景表示技术,232
10,图像处理（计算机）,contain,4DTV中的场景表示技术,233
10,图像处理（计算机）,contain,5DTV中的场景表示技术,234
10,图像处理（计算机）,contain,图像的增强,235
10,图像处理（计算机）,contain,图像内容分析及压缩,236
11,生物信息学,contain,生物信息学概述,237
11,生物信息学,contain,生物数据管理技术,238
11,生物信息学,contain,DNA及蛋白序列分析,239
11,生物信息学,contain,蛋白质二级结构预测,240
11,生物信息学,contain,生物网络建模与网络结构分析,241
12,计算机组成与体系结构,contain,计算机系统概要,242
12,计算机组成与体系结构,contain,指令：计算机的语言,243
12,计算机组成与体系结构,contain,处理器,244
12,计算机组成与体系结构,contain,大容量和高速度：开发存储器层次,245
12,计算机组成与体系结构,contain,指令级并行,246
12,计算机组成与体系结构,contain,从客户端到云的并行处理器,247
13,量子信息与量子智能,contain,线性代数,248
13,量子信息与量子智能,contain,量子状态向量形式化,249
13,量子信息与量子智能,contain,密度算子形式化,250
13,量子信息与量子智能,contain,量子信息,251
13,量子信息与量子智能,contain,量子智能,252
14,自然语言处理基础,contain,自然语言处理基础知识,253
14,自然语言处理基础,contain,HMM（隐马尔科夫）模型及其在NLP中的应用,254
14,自然语言处理基础,contain,词语搭配,255
14,自然语言处理基础,contain,语义消歧,256
14,自然语言处理基础,contain,词汇获取,257
14,自然语言处理基础,contain,概率上下文无关文法（PCFG）,258
14,自然语言处理基础,contain,文本分类和聚类,259
14,自然语言处理基础,contain,自然语言处理机器翻译,260
14,自然语言处理基础,contain,在线社会媒体与社会计算,261
14,自然语言处理基础,contain,自然语言处理信息检索,262
14,自然语言处理基础,contain,深度学习与自然语言处理,263
14,自然语言处理基础,contain,课程大作业,264
15,异构计算,contain,异构计算概述,265
15,异构计算,contain,异构计算硬件环境,266
15,异构计算,contain,CUDA编程,267
15,异构计算,contain,CUDA应用案例,268
15,异构计算,contain,OpenCL编程,269
15,异构计算,contain,OpenCL应用案例与分析,270
15,异构计算,contain,OpenACC编程,271
15,异构计算,contain,OpenACC案例分析,272
16,计算机图形学,contain,计算机图形学基础,273
16,计算机图形学,contain,图形变换,274
16,计算机图形学,contain,三维物体的几何表示,275
16,计算机图形学,contain,基本图形算法,276
16,计算机图形学,contain,基本光照模型和着色绘制,277
16,计算机图形学,contain,OpenGL,278
17,编译原理技术,contain,编译原理概论,279
17,编译原理技术,contain,高级语言和文法,280
17,编译原理技术,contain,词法分析,281
17,编译原理技术,contain,自顶向下语法分析方法,282
17,编译原理技术,contain,自底向上语法分析法,283
17,编译原理技术,contain,中间代码生成,284
17,编译原理技术,contain,符号表,285
17,编译原理技术,contain,运行时环境,286
18,软件体系结构,contain,软件体系结构概论,287
18,软件体系结构,contain,软件体系结构建模,288
18,软件体系结构,contain,软件体系结构风格,289
18,软件体系结构,contain,软件体系结构描述,290
18,软件体系结构,contain,动态软件体系结构,291
18,软件体系结构,contain,Web服务体系结构,292
18,软件体系结构,contain,基于软件体系结构的软件开发,293
18,软件体系结构,contain,软件体系结构的分析与测试,294
18,软件体系结构,contain,软件体系结构评估,295
18,软件体系结构,contain,软件产品线体系结构,296
19,大数据分析理论与方法,contain,大数据概念与应用,297
19,大数据分析理论与方法,contain,数据采集与预处理,298
19,大数据分析理论与方法,contain,数据挖掘算法,299
19,大数据分析理论与方法,contain,大数据挖掘工具,300
19,大数据分析理论与方法,contain,R语言,301
19,大数据分析理论与方法,contain,大数据的深度学习,302
19,大数据分析理论与方法,contain,大数据可视化概念与应用,303
19,大数据分析理论与方法,contain,互联网大数据处理,304
19,大数据分析理论与方法,contain,大数据商业应用,305
19,大数据分析理论与方法,contain,行业大数据,306
20,高等计算机体系结构,contain,处理器设计,307
20,高等计算机体系结构,contain,超标量结构,308
20,高等计算机体系结构,contain,超标量技术,309
20,高等计算机体系结构,contain,PowerPC 620,310
20,高等计算机体系结构,contain,PowerPC 621,311
20,高等计算机体系结构,contain,PowerPC 622,312
20,高等计算机体系结构,contain,PowerPC 623,313
21,模式识别与深度学习,contain,模式识别的基本概念,314
21,模式识别与深度学习,contain,线性回归模型,315
21,模式识别与深度学习,contain,模式识别与深度学习聚类,316
21,模式识别与深度学习,contain,降维,317
21,模式识别与深度学习,contain,分类的概念与基本理论,318
21,模式识别与深度学习,contain,深度神经网络,319
21,模式识别与深度学习,contain,卷积神经网络,320
21,模式识别与深度学习,contain,图模型,321
21,模式识别与深度学习,contain,序列数据模型,322
22,统计分析基础,contain,统计学习方法概述,323
22,统计分析基础,contain,描述性统计,324
22,统计分析基础,contain,概率分布,325
22,统计分析基础,contain,假设检验,326
22,统计分析基础,contain,分类方法,327
22,统计分析基础,contain,回归方法,328
22,统计分析基础,contain,聚类方法,329
23,智能检索与问答,contain,自然语言处理概述,330
23,智能检索与问答,contain,自然语言处理的基础知识,331
23,智能检索与问答,contain,形态分析与句法分析,332
23,智能检索与问答,contain,概率上下文无关文法,333
23,智能检索与问答,contain,神经网络,334
23,智能检索与问答,contain,智能检索与问答语言模型,335
23,智能检索与问答,contain,机器翻译,336
23,智能检索与问答,contain,信息检索,337
23,智能检索与问答,contain,问答系统,338
24,心理与行为计算,contain,心理与行为计算绪论,339
24,心理与行为计算,contain,心理的基本结构,340
24,心理与行为计算,contain,社会行为的基本结构与数学模型,341
24,心理与行为计算,contain,心理分析与干预的计算方法,342
24,心理与行为计算,contain,心理与行为计算的应用,343
25,嵌入式系统（翻转）,contain,嵌入式系统设计概述,344
25,嵌入式系统（翻转）,contain,嵌入式处理器,345
25,嵌入式系统（翻转）,contain,总线设计,346
25,嵌入式系统（翻转）,contain,存储系统设计,347
25,嵌入式系统（翻转）,contain,嵌入式系统接口,348
25,嵌入式系统（翻转）,contain,用户程序设计,349
25,嵌入式系统（翻转）,contain,实时监控程序,350
25,嵌入式系统（翻转）,contain,嵌入式系统的可靠性设计,351
26,智能计算系统,contain,智能计算系统概述,352
26,智能计算系统,contain,神经网络基础,353
26,智能计算系统,contain,深度学习,354
26,智能计算系统,contain,编程框架使用,355
26,智能计算系统,contain,编程框架机理,356
26,智能计算系统,contain,深度学习处理器原理,357
26,智能计算系统,contain,深度学习处理器架构,358
26,智能计算系统,contain,智能编程语言,359
27,物联网基础,contain,物联网的概述,360
27,物联网基础,contain,自动识别技术与RFID,361
27,物联网基础,contain,无线传感网,362
27,物联网基础,contain,定位技术,363
27,物联网基础,contain,互联网和移动互联网,364
27,物联网基础,contain,无线接入,365
27,物联网基础,contain,物联网前沿,366
28,可信计算,contain,安全可信网络安全观,367
28,可信计算,contain,可信计算理论基础,368
28,可信计算,contain,可信密码机制,369
28,可信计算,contain,可信对系统安全的支撑,370
28,可信计算,contain,可信计算的应用,371
29,可视语言与信息可视化,contain,数据可视化简介,372
29,可视语言与信息可视化,contain,视觉感知与认知,373
29,可视语言与信息可视化,contain,地理信息可视化,374
29,可视语言与信息可视化,contain,大规模多变量空间数据场可视化,375
29,可视语言与信息可视化,contain,层次和网络数据可视化,376
29,可视语言与信息可视化,contain,文本和文档可视化,377
29,可视语言与信息可视化,contain,可视化中的交互,378
29,可视语言与信息可视化,contain,可视化软件,379
30,知识图谱,contain,知识图谱概述,380
30,知识图谱,contain,知识表示,381
30,知识图谱,contain,词汇挖掘与实体识别,382
30,知识图谱,contain,关系抽取,383
30,知识图谱,contain,知识图谱的建模与存储,384
30,知识图谱,contain,基于知识图谱的搜索与推荐,385
30,知识图谱,contain,基于知识图谱的问答,386
31,计算机视觉技术,contain,计算机视觉介绍与发展现状,387
31,计算机视觉技术,contain,光场,388
31,计算机视觉技术,contain,多目视觉,389
31,计算机视觉技术,contain,SLAM——机器人基础,390
31,计算机视觉技术,contain,深度相机及应用,391
31,计算机视觉技术,contain,运动捕捉,392
31,计算机视觉技术,contain,语义理解与分析,393
33,离散数学,contain,命题逻辑,394
33,离散数学,contain,谓词逻辑,395
33,离散数学,contain,集合与关系,396
33,离散数学,contain,离散数学函数,397
33,离散数学,contain,代数系统,398
33,离散数学,contain,图论,399
34,计算机系统导论,contain,计算机导论介绍,400
34,计算机系统导论,contain,高性能计算,401
34,计算机系统导论,contain,芯片与计算机,402
34,计算机系统导论,contain,生物信息导论,403
34,计算机系统导论,contain,人工智能,404
34,计算机系统导论,contain,计算机系统（体系）结构,405
34,计算机系统导论,contain,计算机视觉,406
34,计算机系统导论,contain,软件开发与软件工程,407
34,计算机系统导论,contain,万物互联时代的无源感知与计算,408
34,计算机系统导论,contain,软件定义驱动的未来互联网,409
34,计算机系统导论,contain,网络空间安全概述,410
34,计算机系统导论,contain,自然语言处理,411
34,计算机系统导论,contain,云计算系统,412
34,计算机系统导论,contain,计算机网络简介,413
34,计算机系统导论,contain,数据库简介,414
34,计算机系统导论,contain,数据可视化,415
35,程序设计原理,contain,计算机系统与程序设计概述,416
35,程序设计原理,contain,C/C++基础知识,417
35,程序设计原理,contain,分支程序设计,418
35,程序设计原理,contain,数学函数、字符、字符串,419
35,程序设计原理,contain,循环,420
35,程序设计原理,contain,函数,421
35,程序设计原理,contain,一维数组和C串,422
35,程序设计原理,contain,多维数组,423
35,程序设计原理,contain,递归程序设计,424
35,程序设计原理,contain,对象和类,425
35,程序设计原理,contain,面向对象,426
35,程序设计原理,contain,指针和动态内存管理,427
36,算法设计与分析,contain,算法分析,428
36,算法设计与分析,contain,分治法,429
36,算法设计与分析,contain,贪心法,430
36,算法设计与分析,contain,动态规划,431
36,算法设计与分析,contain,回溯与分枝－限界法,432
37,数据结构,contain,数据结构算法分析,433
37,数据结构,contain,线性表,434
37,数据结构,contain,栈和队列,435
37,数据结构,contain,递归,436
37,数据结构,contain,字符串,437
37,数据结构,contain,树和二叉树,438
37,数据结构,contain,图,439
37,数据结构,contain,查找,440
37,数据结构,contain,排序,441
39,计算机系统基础,contain,计算机系统绪论,442
39,计算机系统基础,contain,信息的表示和处理,443
39,计算机系统基础,contain,程序的机器级表示,444
39,计算机系统基础,contain,处理器体系结构,445
39,计算机系统基础,contain,存储器的层次结构,446
39,计算机系统基础,contain,链接,447
39,计算机系统基础,contain,异常控制流,448
39,计算机系统基础,contain,虚拟内存,449
41,操作系统原理,contain,操作系统概述,450
41,操作系统原理,contain,Unix/Linux基础,451
41,操作系统原理,contain,进程与线程，死锁,452
41,操作系统原理,contain,内存管理,453
41,操作系统原理,contain,文件系统,454
41,操作系统原理,contain,输入输出设备,455
42,计算机产业前沿与创新创业,contain,计算机系统机构和高性能计算新技术及对产业发展的推动,456
42,计算机产业前沿与创新创业,contain,计算机网络与通信新技术及对产业发展的推动,457
42,计算机产业前沿与创新创业,contain,信息安全新技术及对产业发展的推动,458
42,计算机产业前沿与创新创业,contain,软件工程新技术及对产业发展的推动,459
42,计算机产业前沿与创新创业,contain,人工智能新技术及对产业发展的推动,460
42,计算机产业前沿与创新创业,contain,计算机图形图像新技术及对产业发展的推动,461
42,计算机产业前沿与创新创业,contain,人机交互新技术及对产业发展的推动,462
43,数字逻辑与数字系统,contain,逻辑电路基础,463
43,数字逻辑与数字系统,contain,组合逻辑设计,464
43,数字逻辑与数字系统,contain,基于硬件描述语言的组合逻辑电路模块设计,465
43,数字逻辑与数字系统,contain,时序逻辑设计,466
43,数字逻辑与数字系统,contain,指令集体系结构,467
44,数据库原理,contain,数据库系统世界（概述）,468
44,数据库原理,contain,关系数据库模型,469
44,数据库原理,contain,关系数据库语言SQL,470
44,数据库原理,contain,关系数据库设计理论,471
44,数据库原理,contain,高层数据库模型,472
44,数据库原理,contain,约束和触发器,473
44,数据库原理,contain,视图与索引,474
44,数据库原理,contain,服务器环境下的SQL,475
44,数据库原理,contain,SQL中的安全机制,476
44,数据库原理,contain,数据库恢复,477
44,数据库原理,contain,并发控制,478
44,数据库原理,contain,NoSQL基本概念,479
45,计算机网络,contain,计算机网络绪论,480
45,计算机网络,contain,应用层,481
45,计算机网络,contain,传输层,482
45,计算机网络,contain,网络层：数据层面,483
45,计算机网络,contain,数据链路层,484
46,设计模式,contain,面向对象程序设计的原则,485
46,设计模式,contain,经典设计模式,486
46,设计模式,contain,设计模式的综合应用,487
51,人工智能,contain,人工智能概述,488
51,人工智能,contain,搜索算法,489
51,人工智能,contain,马尔科夫决策过程,490
51,人工智能,contain,人工智能的游戏策略,491
51,人工智能,contain,约束求解,492
52,图像处理（软件工程）,contain,图像处理概述,493
52,图像处理（软件工程）,contain,数字图像处理基础,494
52,图像处理（软件工程）,contain,空间域图像增强,495
52,图像处理（软件工程）,contain,频率域图像增强,496
52,图像处理（软件工程）,contain,图形复原,497
52,图像处理（软件工程）,contain,图像分割,498
52,图像处理（软件工程）,contain,图像的表示与描述,499
52,图像处理（软件工程）,contain,图像识别,500
54,自然语言处理导论,contain,自然语言处理导论绪论,501
54,自然语言处理导论,contain,形式语言与自动机机器在NLP中的应用,502
54,自然语言处理导论,contain,语料库与语言知识库,503
54,自然语言处理导论,contain,自然语言处理语言模型,504
54,自然语言处理导论,contain,隐马尔科夫模型,505
54,自然语言处理导论,contain,词性分析与词性标注,506
54,自然语言处理导论,contain,语法理论,507
54,自然语言处理导论,contain,句法分析,508
54,自然语言处理导论,contain,语义分析,509
55,专业外语（全英文）,contain,专业英语基本概念,510
55,专业外语（全英文）,contain,软件人员英语沟通的各种方法,511
