id,name,Course_code,Course_hours,Course_credit,label
1,并行计算,2160240,40,2,course
2,离散数学B,2160044,48,3,course
3,毕业设计（计算机）,2160277,16周,12,course
4,虚拟化技术与云计算,2180182,32,1.5,course
5,形式语言与自动机,2440002,40,2,course
6,人工智能基础,2440045,40,2,course
7,网络安全,2440052,40,2,course
8,软件工程,2440053,40,2,course
9,数据挖掘,2440054,40,2,course
10,图像处理（计算机）,2440061,32,1.5,course
11,生物信息学,2440062,32,1.5,course
12,计算机组成与体系结构,2440065,40,2,course
13,量子信息与量子智能,2440066,24,#,course
14,自然语言处理基础,2440067,24,1.5,course
15,异构计算,2440070,32,1.5,course
16,计算机图形学,2440074,32,1.5,course
17,编译原理技术,2440075,32,2,course
18,软件体系结构,2440081,32,1.5,course
19,大数据分析理论与方法,2440093,32,1.5,course
20,高等计算机体系结构,2440096,28,#,course
21,模式识别与深度学习,2440100,32,1.5,course
22,统计分析基础,2440101,24,1.5,course
23,智能检索与问答,2440103,32,1.5,course
24,心理与行为计算,2440105,24,1.5,course
25,嵌入式系统（翻转）,2440106,32,1.5,course
26,智能计算系统,2440107,32,1.5,course
27,物联网基础,2440108,32,1.5,course
28,可信计算,2440110,32,2,course
29,可视语言与信息可视化,2440113,32,#,course
30,知识图谱,2440115,32,1.5,course
31,计算机视觉技术,2440120,32,1.5,course
32,综合实训,2440124,8周,8,course
33,离散数学,2180277,64,4,course
34,计算机系统导论,2180278,32,2,course
35,程序设计原理,2180279,80,4,course
36,算法设计与分析,2440031,56,3,course
37,数据结构,2440046,64,3,course
38,程序设计综合实践,2440049,1.5周,1.5,course
39,计算机系统基础,2440050,56,3,course
40,计算机系统综合实践,2440072,1.5周,1.5,course
41,操作系统原理,2440078,56,3,course
42,计算机产业前沿与创新创业,2440094,16,1,course
43,数字逻辑与数字系统,2440125,64,3,course
44,数据库原理,2440126,48,2,course
45,计算机网络,2440130,48,2,course
46,设计模式,2440033,32,1.5,course
47,程序设计初级实践,2440041,1.5周,1.5,course
48,程序设计中级实践,2440042,1.5周,1.5,course
49,程序设计高级实践,2440042,1.5周,1.5,course
50,面向对象程序设计,2160083,40,2,course
51,人工智能,2180042,32,2,course
52,图像处理（软件工程）,2180058,32,2,course
53,毕业设计（软件工程）,2180111,16周,12,course
54,自然语言处理导论,2180250,32,2,course
55,专业外语（全英文）,2180256,32,2,course
56,软件工程1（双语）,2180265,32,2,course
57,软件工程2（双语）,2180266,32,2,course
58,形式化方法（双语）,2180267,32,2,course
59,软件测试技术,2440063,32,1.5,course
60,计算机图形技术,2440064,32,1.5,course
61,软件项目管理（双语）,2440068,32,1.5,course
62,架构驱动的软件开发实践,2440069,32,1.5,course
63,数据仓库与数据挖掘,2440073,32,1.5,course
64,深度强化学习,2440079,32,1.5,course
65,软件工程综合实践,2440091,3周,3,course
66,程序设计写作实践,2440098,1.5周,1.5,course
67,计算机视觉,2440118,32,1.5,course
68,区块链技术,2440119,32,1.5,course
69,虚拟现实技术,2440122,32,1.5,course
70,综合实训（软件工程）,2440123,8周,8,course
71,机器学习,2440003,40,2,course
72,自然语言处理,2440006,40,2,course
73,认知科学导论,2440047,40,2,course
74,知识工程,2440051,40,2,course
75,机器学习综合实践,2440082,1.5周,1.5,course
76,情感计算,2440083,32,1.5,course
77,信号与系统,2440089,32,1.5,course
78,知识工程综合实践,2440090,1.5周,1.5,course
79,媒体计算,2440102,32,#,course
80,知识表示与推理,2440112,28,1.5,course
81,计算机视觉与模式识别,2440114,32,1.5,course
82,信息检索与智能问答,2440116,32,1.5,course
83,人工智能数据基础,2440127,48,3,course
84,逻辑与形式化方法,2440004,32,#,course
85,安全软件工程,2440007,40,2,course
86,网络安全综合设计,2440044,1.5周,1.5,course
87,信息安全数学基础,2440048,32,2,course
88,网络协议分析与设计,2440076,40,2,course
89,信息系统安全,2440084,40,2,course
90,密码学原理与实践,2440085,40,2,course
91,软件安全,2440086,40,2,course
92,密码学综合实践,2440087,1.5周,1.5,course
93,逆向工程分析技术,2440109,40,2,course
94,物联网安全,2440111,32,2,course
95,信息系统安全综合实践,2440129,1.5周,1.5,course
96,项目制实践1,2440077,3周,3,course
97,项目制实践2,2440131,3周,3,course
