Curriculum code,Course introduction,Course objectives
2440033,,"
3. 新增：四、课程目标和毕业要求的对应关系（毕业要求指标点内容要使用最新版）
4. 新增：五、本课程中的复杂工程问题定义

一、 课程基本信息
课程代码：2440033
课程名称：设计模式
学时/学分：32 / 1.5
学时分配：	授课：	16			上机：16
实验：			   实践：
实践（周数）：	
适用专业：计算机科学与技术、软件工程、网络安全、人工智能等
授课学院：智能与计算学部
先修课程：程序设计原理、面向对象程序设计
同修课程： 
教材及主要参考书：
1）《图解设计模式》，[日] 结城浩 著，杨文轩 译，人民邮电出版社，2016-12
2）《设计模式：可复用面向对象软件的基础》，[美] 埃里克·伽玛（Erich Gamma） 等 著，李英军，马晓星，蔡敏，刘建中 等 译，机械工业出版社，2019-05

二、 课程简介
设计模式，是一套被反复使用、多数人知晓的、经过分类编目的、代码设计经验的总结。使用设计模式是为了可重用代码、让代码更容易被他人理解、保证代码可靠性、程序的重用性。
设计模式通常描述了一组相互紧密作用的类与对象。设计模式提供一种讨论软件设计的公共语言，使得熟练设计者的设计经验可以被初学者和其他设计者掌握。设计模式还为软件重构提供了目标。

三、 课程目标
1. 了解面向对象程序设计的一般原则，包括SOLID原则、LOD法则等。掌握将上述原则应用于设计的方法。（支撑毕业要求指标点3.2）
2. 掌握经典的23个设计模式的设计思想，能够应用上述思想相关问题进行分析，并获得有效的解决方案。（支撑毕业要求5.2）
3. 将设计模式的思想应用到软件项目开发的实践中，编写出具有可复用性的代码。（支撑毕业要求3.2）

"
2440041,,"
3. 修改：四、课程目标和毕业要求的对应关系（毕业要求指标点内容要使用最新版）
4. 新增：五、本课程中的复杂工程问题定义

一、 课程基本信息
课程代码：2440041
课程名称：程序设计初级实践
课程类别：实践教学课程
课程性质：必修
学时/学分：1.5周 / 1.5学分
适用专业：软件工程
授课学院：智能与计算学部
先修课程：程序设计原理、数据结构	
同修课程：面向对象程序设计
教材及主要参考书：
1) 《Java语言程序设计与数据结构（基础篇）（原书第11版）》，[美] Y.Daniel Liang 著；戴开宇 等 译，机械工业出版社，2018.06
2) 《Java语言程序设计与数据结构（进阶篇 原书第11版）》，[美] Y.Daniel Liang 著；戴开宇 等 译，机械工业出版社，2018.10
3) 《Java编程思想（第4版）》，[美] Bruce Eckel 著，陈昊鹏 译，机械工业出版社，2017.06


二、 课程简介
“程序设计初级实践”是一门专业实践课程，在“程序设计原理”、“数据结构”与“面向对象程序设计”课程基础之上，进一步培养学生面向对象程序设计的思想，加深对高级语言基本语言要素和控制结构的理解。
数据结构与算法是软件工程专业必修课，也是所有其他计算机软件课程的基础。运用好数据结构、设计好算法，使用高级程序设计语言编写程序解决工程实际和科学研究问题是软件工程专业学生必须要掌握的技能。程序设计初级实践不仅是数据结构与算法课程的实践教学环节，而且是一门综合性实验项目。通过这个实践过程，培养学生综合运用数据结构和算法以及程序设计基本知识，解决实际问题，提高程序设计的能力和团队协作精神。
本程序设计实践的目的就是要达到理论与实际应用相结合，使学生能够根据问题使用软件工程规范的分析、设计、编写代码、调试、测试过程，通过数据的组织、已掌握算法的灵活运用，把现实世界中的实际问题用计算机程序予以解决，并针对面向对象语言中的重点和难点内容进行训练，要求独立完成有一定工作量的程序设计任务。

三、 课程目标
1. 掌握面向对象语言的基本语法和开发工具，能够使用标准面向对象语言语法编写程序，代码书写要求有良好的风格。（支撑毕业要求7.1）
2. 掌握常用的数据表示和处理技术，掌握常用算法，学会分析研究计算机加工的数据结构的特性，为应用涉及的数据选择适当的逻辑结构、存储结构及其相应的算法，并初步掌握算法的时间分析和空间分析的技术。能够理解并运用面向对象思想，对软件工程领域问题进行分析，并获得有效的解决方案并撰写文档。（支撑毕业要求7.2）

"
2440042,,"
3. 修改：四、课程目标和毕业要求的对应关系（毕业要求指标点内容要使用最新版）
4. 新增：五、本课程中的复杂工程问题定义

一、 课程基本信息
课程代码：2440042
课程名称：程序设计中级实践
课程类别：实践教学课程
课程性质：必修
学时/学分：1.5周 / 1.5学分
适用专业：软件工程
授课学院：智能与计算学部
先修课程：程序设计原理
同修课程：设计模式			
教材及主要参考书：
1） 《Java编程思想（第4版）》，[美] Bruce Eckel 著；陈昊鹏 译 ，机械工业出版社，2017.06
2） 《图解设计模式》，[日] 结城浩 著；杨文轩 译 ，人民邮电出版社，2016.12

二、 课程简介
“程序设计中级实践”是一门专业实践课程，在“程序设计原理”与“面向对象程序设计”课程基础之上，进一步培养学生面向对象程序设计的思想。
课程设置的主要目的，是使用面向对象语言，实现面向对象设计，应用设计模式的思想进行训练，要求独立完成有一定工作量的程序设计任务。

三、 课程目标
1. 能够理解并运用面向对象思想和设计模式，对软件工程领域问题进行分析，并获得有效的解决方案。（支撑毕业要求6.1）
2. 掌握面向对象的编程技巧和上机调试程序的方法，能够通过调试查找程序中存在的问题并加以解决，能够对项目开发过程进行归纳、分析及深入研究，并得出有效结论。（支撑毕业要求6.2）
3. 能够根据系统设计需求，撰写设计方案，能够清晰的进行陈述发言表达自己的设计思想，与他人进行沟通和交流。（支撑毕业要求11.1）
4. 掌握自学相关技术和工具的前沿发展方法，把新技术、新方法应用到实践项目中。（支撑毕业要求14.2）

"
2440043,,"
3. 新增：四、课程目标和毕业要求的对应关系（毕业要求指标点内容要使用最新版）

一、 课程基本信息
课程代码：2440043
课程名称：程序设计高级实践
课程类别：集中实践类
课程性质：必修
学时/学分：1.5周/ 1.5学分
适用专业：软件工程
授课学院：智能与计算学部
先修课程：程序设计原理
同修课程： 
    教材及主要参考书：
1） 《火球：UML大战需求分析》，张传波 著 ， 中国水利水电出版社，2012.02
2） 《重构 改善既有代码的设计》，[美] 马丁·福勒（Martin Fowler） 著，熊节，林从羽 译，人民邮电出版社，2019.05

二、 课程简介
程序设计高级实践是软件工程的实践教学环节，而且是一门综合性实验项目。通过这个实践过程，培养学生综合运用软件工程的开发实践，以及程序设计的综合知识，解决实际问题，提高程序设计的能力和团队协作精神。
本程序设计实践的目的就是要达到理论与实际应用相结合，使学生能够根据问题使用软件工程规范的分析、设计、编写代码、调试、测试过程，通过数据的组织、已掌握算法的灵活运用，把现实世界中的企业级工程问题用计算机程序予以解决，并培养基本的、良好的团队分工和合作能力。

三、 课程目标
1. 通过对问题的分析求解训练编写复杂程序设计能力，通过对大型问题的分解训练团队合作及沟通能力，编写的程序符合软件工程规范。（支撑毕业要求5.1）
2. 能够使用面向对象的思想进行软件需求分析，撰写软件需求规格说明书，使用UML中的用例图、类图、活动图、顺序图和状态机图等描述软件需求，掌握编写用例分析的方法。（支撑毕业要求6.2）
3. 通过对问题的分析求解训练编写复杂程序设计能力，通过对大型问题的分解训练团队合作及沟通能力，编写的程序符合软件工程规范。能够根据要解决的问题的性质，选择和使用恰当的软件领域技术、资源，并能够理解和评价其对环境、社会可持续发展的影响。（支撑毕业要求9.2）
4. 能够综合运用前端和后端开发的技术，对企业级应用提供全栈解决方案，能够认识到不断探索和学习软件开发技术的必要性，具有自主学习和终身学习的意识。（支撑毕业要求14.1）
5. 掌握学习前端和后端开发技术新发展的能力，能够自学新的相关工具和框架。能够不断适应和学习软件开发技术的新发展和前沿动态。（支撑毕业要求14.2）

"
2160044,"
离散数学是研究离散量的结构及其相互关系的数学学科，是现代数学的一个重要分支，在计算机科学与技术领域有着广泛的应用。离散数学课程是计算机专业的基础课程，是许多专业课程（如离散数学、程序设计语言、数据结构、操作系统、编译技术、人工智能、数据库、算法设计与分析等）必不可少的先行课程。
离散数学2课程作为离散数学课程的后继课程，是离散数学课程的知识的进一步加深和扩展。通过本课程的学习，能够进一步掌握处理离散结构的多种描述工具和方法，为后续计算机相关课程中遇到的相关问题建立必要的理论基础，而且有利于进一步提高学生的抽象思维和逻辑推理能力，为将来参与创新性的研究和开发工作打下更为坚实的基础。
","
1. 了解离散数学2中各部分（包括构造性逻辑、布尔代数、图论）的基本定义和定理，理解上述定义定理与计算机科学中离散性问题的内在联系，掌握使用数学抽象模型解决特定计算问题的基本方法。熟悉离散数学各部分内容的主要特点，以及它们在计算机科学中的主要用途，掌握其解决计算问题的基本理论和方法。能够应用这些理论和方法解决一些经典问题，并在解决问题过程中培养逻辑思维能力，提高抽象建模能力。（支撑毕业要求2.1）
2. 学会分析计算机科学中不同问题的离散特性，结合离散数学各部分内容的特点，对于不同的具体问题，合理选择抽象模型，并使用正确的离散数学理论和方法进行分析。判断具体的应用问题是否能够使用离散数学课程所学的定义和定理进行形式化描述和分析。若可以，则使用所学定义和定理解决该问题。若不能，则通过参阅参考文献等方法，确定具体问题中所涉及新的数学定义和方法，基于新的理论和方法对具体问题进行进一步的抽象建模和分析。（支撑毕业要求3.2）
3. 面对复杂工程问题，能够利用离散数学的数学思维方法，对具体问题进行抽象建模和分析，包括将复杂问题分解为若干具有离散性质的子问题；基于不同子问题的特点，结合离散数学中各部分内容，寻找适当的抽象模型；利用离散数学的定义和定理，对各抽象模型进行分析；与计算机其他理论和技术（包括数据结构、算法分析等）相结合，进一步完善各子问题的抽象模型。（支撑毕业要求3.2）
"
2160044,"
离散数学是研究离散量的结构及其相互关系的数学学科，是现代数学的一个重要分支，在计算机科学与技术领域有着广泛的应用。离散数学课程是计算机专业的基础课程，是许多专业课程（如离散数学、程序设计语言、数据结构、操作系统、编译技术、人工智能、数据库、算法设计与分析等）必不可少的先行课程。
离散数学2课程作为离散数学课程的后继课程，是离散数学课程的知识的进一步加深和扩展。通过本课程的学习，能够进一步掌握处理离散结构的多种描述工具和方法，为后续计算机相关课程中遇到的相关问题建立必要的理论基础，而且有利于进一步提高学生的抽象思维和逻辑推理能力，为将来参与创新性的研究和开发工作打下更为坚实的基础。
","
1. 了解离散数学2中各部分（包括构造性逻辑、布尔代数、图论）的基本定义和定理，理解上述定义定理与计算机科学中离散性问题的内在联系，掌握使用数学抽象模型解决特定计算问题的基本方法。熟悉离散数学各部分内容的主要特点，以及它们在计算机科学中的主要用途，掌握其解决计算问题的基本理论和方法。能够应用这些理论和方法解决一些经典问题，并在解决问题过程中培养逻辑思维能力，提高抽象建模能力。（支撑毕业要求2.1）
2. 学会分析计算机科学中不同问题的离散特性，结合离散数学各部分内容的特点，对于不同的具体问题，合理选择抽象模型，并使用正确的离散数学理论和方法进行分析。判断具体的应用问题是否能够使用离散数学课程所学的定义和定理进行形式化描述和分析。若可以，则使用所学定义和定理解决该问题。若不能，则通过参阅参考文献等方法，确定具体问题中所涉及新的数学定义和方法，基于新的理论和方法对具体问题进行进一步的抽象建模和分析。（支撑毕业要求3.2）
3. 面对复杂工程问题，能够利用离散数学的数学思维方法，对具体问题进行抽象建模和分析，包括将复杂问题分解为若干具有离散性质的子问题；基于不同子问题的特点，结合离散数学中各部分内容，寻找适当的抽象模型；利用离散数学的定义和定理，对各抽象模型进行分析；与计算机其他理论和技术（包括数据结构、算法分析等）相结合，进一步完善各子问题的抽象模型。（支撑毕业要求3.2）
"
2160083,,
2160083,,
2160191,"
离散数学是研究离散量的结构及其相互关系的数学学科，是现代数学的一个重要分支，在计算机科学与技术领域有着广泛的应用。离散数学导论课程是计算机专业的基础课程，是许多专业课程（如离散数学、程序设计语言、数据结构、操作系统、编译技术、人工智能、数据库、算法设计与分析等）必不可少的先行课程。通过课程的学习，不但可以掌握处理离散结构的描述工具和方法，为后续课程的学习创造条件，而且可以提高抽象思维和严格的逻辑推理能力，为将来参与创新性的研究和开发工作打下坚实的基础。
","
1. 了解离散数学各部分（包括数理逻辑、集合论、代数系统、图论）的基本定义和定理，理解上述定义定理与计算机科学中离散性问题的内在联系，掌握使用数学抽象模型解决特定计算问题的基本方法。（支撑毕业要求1.1）
2. 熟悉离散数学各部分内容的主要特点，以及它们在计算机科学中的主要用途，掌握其解决计算问题的基本理论和方法。能够应用这些理论和方法解决一些经典问题（例如“苏格拉底三段论”等推理问题、旅行商等优化问题），并在解决问题过程中培养逻辑思维能力，提高抽象建模能力。（支撑毕业要求1.1）
3. 学会分析计算机科学中不同问题的离散特性，结合离散数学各部分内容的特点，对于不同的具体问题，合理选择抽象模型，并使用正确的离散数学理论和方法进行分析。（支撑毕业要求2.1）
4. 面对复杂工程问题，能够利用离散数学的数学思维方法，对具体问题进行抽象建模和分析，包括将复杂问题分解为若干具有离散性质的子问题；基于不同子问题的特点，结合离散数学中各部分内容，寻找适当的抽象模型；利用离散数学的定义和定理，对各抽象模型进行分析；与计算机其他理论和技术（包括数据结构、算法分析等）相结合，进一步完善各子问题的抽象模型。（支撑毕业要求2.1）
"
2160240,"
并行计算是面向计算机科学与技术专业的核心必修课。该课程旨在让学生能够掌握并行计算技术在研究与开发中的应用，能够根据自己的需要选择合适的并行计算环境与并行计算编程技术，独立完成针对本领域或所承担具体任务的并行算法，并能够独立完成并行应用程序的编制、调试与部署。课程内容主要介绍并行计算领域中基本概念以及基础的并行程序设计方法，目的是让学习本课程的同学了解并行计算硬件平台的类别、分布式计算模式以及MapReduce并行计算模型，掌握简单多线程/OpenMP/MPI并行化方法、GPU异构编程，以及基本的并行程序设计技术，为未来的工作或者科研打好基础。
该课程针对当前计算机类专业的学生并行思维以及并行编程能力，以适应大数据、人工智能大潮对算力的需求。

","
课程目标1：了解并行应用需求，掌握并行计算硬件、并行程序设计的基本概念；理解域分解、任务分解和流水线的并行化方法，能够针对具体应用选择合理并行化解决方案；了解国内外高性能计算发展现状。（支撑毕业要求3.2）
课程目标2：了解共享内存程序设计及多线程编程的基本思想，掌握Pthread/OpenMP/GPU等多个多线程编程模型；理解共享变量访问的冲突以及互斥方法；了解假共享的出现以及消除方法；学会采用多线程编程来并行化一些实际算法和例子并体现创新意识；能够针对特定的共享内存计算环境选择与使用恰当的技术进行多线程程序调优；学会异构GPU编程；掌握使用Eclipse作为开发工具进行多线程编程。（支撑毕业要求3.2，5.1）
课程目标3：掌握基本的MPI并行程序设计方法以及MPI混合异构编程，理解多线程与多进程的不同；掌握点对点通信和组通信，了解虚拟进程及其拓扑；学会采用多进程的方式进行并行分布式编程，理解死锁的概念以及如何避免；学会使用Eclipse工具进行多进程编程（支撑毕业要求3.2，5.1） 
课程目标4：了解大数据的基本概念；掌握MapReduce计算模型；了解Hadoop的调度策略；了解HDFS分布式文件系统；了解Hadoop容错和负载平衡机制；了解Hadoop的有确定；学会使用Eclipse进行Hadoop编程以及Hadoop程序的提交运行。（支撑毕业要求3.2，5.1）
课程目标5：掌握PCAM并行程序设计方法学，了解并行程序设计的三种基本策略；掌握四种常用的通信模式；及并行程序算法设计的判据；了解重复计算的优缺点；能够针对具体应用设计一个合理的并行优化方案；能够采用第Linux自带的性能监测工具进行程序性能监测。（支撑毕业要求5.1）

四、课程目标和毕业要求的对应关系

毕业要求
毕业要求指标点
支撑强度
课程目标

3.设计/开发解决方案

3.2能够设计满足特定需求的计算机系统或软硬件模块，并在其中体现创新意识。
M（0.2）
1，2，3，4
5.使用现代工具
5.1掌握计算机专业所需的基本技术、基础资源和基本工具的使用原理和使用方法，并理解它们的局限性；能够针对复杂计算机工程问题的不同需求，选择与使用恰当的技术、资源和软硬件工具。
M（0.2）
2，3，4，5

五、课程教学方法
本课程的目标是让学生能够了解并行计算的基本概念，了解主要的并行计算硬件平台，掌握基本的并行程序设计技术，了解并行算法分析与设计的方法。课程注重理论与实践的充分结合，上机实验占总学时的一半，实验课的时间结合课堂教学的进度相应安排。
课程内容难度较高，且与操作系统、计算机组成原理、数据结构、算法分析与设计、计算机网络等其他课程有密切联系，因此课堂教学需要结合相关课程的内容进行组织，使学生能够基本相关内容形成自己的专业知识体系；实践是本课程的重要环节，与教学内容中的多线程及MPI程序设计部分对应，在课堂授课时需要结合实验内容与要求提前进行有针对性地讲解；并行程序设计部分与并行计算硬件直接相关，此两部分授课内容需要相互呼应；课程后期关于分布式计算、MapReduce、并行程序设计方法学等部分内容没有相应的上机实验课程，需要结合实例进行讲解。
上机实验在多核计算机、集群等并行计算环境中进行，学生们对于Linux远程使用、集群环境中并行程序编译以及计算任务提交等较为陌生，需要辅以详细的实例演示，并安排专门的上机实验辅导人员；并行计算程序的性能分析与课堂教学的性能评测指标以及加速比定律部分结合密切，实验报告部分要求与之相呼应。

六、教学内容
1、授课与自学
第一章	 并行计算概述
1.1 并行计算基本概念
1.2 基本的并行化方法
本章重点：并行计算与传统串行计算的区别，典型的并行计算应用。
教学模式：课堂授课。
知识点：并行计算概念、并行计算应用领域、域分解、任务解。
能力：了解并行计算基本概念以及基本的并行化方法。

第二章 并行计算的性能评测
   2.1 并行计算的性能
   2.2 内存系统对性能的影响
   2.3 加速比定律
本章重点：掌握基本的并行计算性能指标，了解三个加速比定律。
教学模式：课堂授课。
知识点：加速比、效率、加速比定律。
能力：掌握并行计算程序性能分析方法与指标，理解三个加速比定律及其涵义。

第三章 并行计算硬件环境
   3.1 处理器
   3.2 互联网络
   3.3 内存访问模式
   3.4 并行计算系统体系结构分类
   3.5 并行计算作业管理
本章重点：了解SIMD、多核处理器、GPU和并行计算机互联网络。掌握内存访问模式，并行计算系统的体系结构分类和作业管理。
教学模式：课堂授课。
知识点：多核处理器、内存访问模式、并行计算系统的分类。
能力：能够编写基本的OpenMP程序。

第四章 多线程并行程序设计
   4.1 多线程基本概念
   4.2 多线程计算实例分析
   4.3 PThread多线程
   4.4 Java多线程
本章重点：理解线程与进程的区别以及操作系统调度线程的方式，掌握基本的PThread编程和Java多线程编程。
教学模式：课堂授课，上机实验。
知识点：内存系统参数、高速缓存、线程与进程、竞态条件、同步、PThread。
能力：能够分析与推导高速缓存对于计算性能的影响，能够编写PThread程序。

第五章 OpenMP
   5.1 OpenMP概述
   5.2 编译制导语句
本章重点：了解OpenMP的思想与实现机制，了解OpenMP编程。
教学模式：课堂授课。
知识点：OpenMP的编程模型、编译制导语句。
能力：能够编写基本的OpenMP程序。

第六章 GPU编程
   6.1 GPU体系结构
   6.2 CUDA程序设计
本章重点：了解GPU体系结构，会CUDA编程。
教学模式：课堂授课。
知识点：CUDA的编程模型。
能力：能够编写基本的CUDA程序。


第七章 MPI分布式编程
   7.1 MPI概述
   7.2 点到点通信
   7.3 组通信
   7.4 MPI数据类型
本章重点：掌握基于消息传递的并行计算方法，掌握基本的MPI接口，掌握基本的通信模式。
教学模式：课堂教学，上机实验。
知识点：消息传递并行计算、MPI、通信模式。
能力：能够设计开发基本的MPI并行计算程序。

第八章 MPI 多级混合编程
   8.1 多级混合编程概述
   8.2 MPI+OpenMP混合编程
   8.3 MPI+CUDA混合编程
本章重点：掌握MPI混合编程模型、会MPI+OpenMP、MPI+CUDA混合编程。
教学模式：课堂教学，上机实验。
知识点：多级混合编程，MPI+OpenMP混合编程、MPI+CUDA混合编程。
能力：能够编写较复杂的MPI混合并行计算程序。


第九章 MapReduce编程
   9.1 MapReduce背景介绍
   9.2 MapReduce编程模型
   9.3 Hadoop/YARN
本章重点：掌握MapReduce编程模型，了解Hadoop思想以及系统应用。
教学模式：课堂教学。
知识点：MapReduce编程模型、中间结果排序、Hadoop。
能力：能够判断应用问题是否可映射到MapReduce模型，了解Hadoop的使用。

第八章 并行程序设计方法学
   8.1 PCAM方法学
   8.2 并行编程模型
本章重点：掌握PCAM方法的基本思想，了解并行编程模式。
教学模式：课堂教学。
知识点：PCAM方法学、并行编程模型
能力：能够完成从问题分析到并行计算方案设计的全过程。

第十章 Spark编程
   10.1 Spark概述
   10.2 Spark框架介绍
   10.3 Spark编程模型
本章重点：掌握Spark编程模型，了解Spark思想以及系统应用。
教学模式：课堂教学。
知识点：RDD编程模型、Spark。
能力：能够判断应用问题是否可映射到RDD模型，了解Spark的使用。

第十一章 PCAM方法学
   11.1 划分(Partitioning)
   11.2 通讯(Communication)
   11.3 组合(Agglomeration)
   11.4 映射(Mapping)
   11.5 小结
本章重点：掌握PCAM方法的基本思想，了解并行编程模式。
教学模式：课堂教学。
知识点：PCAM方法学
能力：能够完成从问题分析到并行计算方案设计的全过程。

第十二章 并行算法的一般设计策略
   12.1 串行算法的直接并行化
   12.2 从问题描述开始设计并行算法
   12.3 借用已有算法求解新问题
   12.4 小结
本章重点：掌握并行算法并行化的一般设计策略。
教学模式：课堂教学。
知识点：多种不同的并行化设计策略
能力：能够这对一个问题，选择一个合适的并行化设计策略。


2、实验
实验教学内容：
实验一		多线程计算PI值
实验二    多线程实现矩阵转置算法
实验三		MPI实现矩阵转置算法
实验四    Hadoop/Spark算法实现
教学模式：机房授课和实验，演示并行计算环境的使用方法以及并行程序运行、性能分析方法，为学生提供基本的并行程序代码范例以及供参考的串行算法源代码。
知识点：并行计算环境使用、计算任务提交、性能分析、算法并行化
能力：能够使用集群等并行计算硬件环境，能够独立设计实现并行计算程序和提交并行计算任务，能够进行并行计算程序执行性能分析，初步掌握并行算法分析设计的基本思想与方法。

七、学时分配
教学内容
授课
实验
自学
课程设计
大作业
其他
并行计算概述
2

　
　


并行计算的性能评测
2

　
　


并行计算硬件环境
2

　
　


多线程并行程序设计
2

　
　


OpenMP
2





GPU编程
2





MPI分布式编程
2





MPI 多级混合编程
2





MapReduce编程
2





Spark编程
2





PCAM方法学
2





并行算法的一般设计策略
2





多线程计算PI值

4




多线程实现矩阵转置算法

4




MPI实现矩阵转置算法

4




Hadoop/Spark算法实现

4




总计：
24
16
　
　



八、考核与评价方式及标准
实验报告：40%
平时作业：20%
平时成绩：10%
大作业：30%
科目
分值
内容
评分标准
大作业
30
完成实验综合报告，提交文档、PPT与讲解视频。
1、 对第1/2/3/4次实验，进行算法分析比较；
2、 实验内容与理论课知识点的对应总结。
24-30：文档与PPT有深度，视频讲解条理清楚，知识点分析不少于12项；
18-14：文档与PPT完整，视频讲解基本到位，知识点分析不少于8项；
18分以下：内容缺失或错误。
迟交：一周内减3分，再迟计0分。
实验报告
40
4次上机实验：
1、 多线程求PI（15%）
2、 多线程求矩阵转置（30%）
3、 MPI求矩阵转置（30%）
4、 Hadoop/Spark（25%）
每次实验满分按100分计，累加折算。
90-100：分析总结详尽，代码完善；
80-89：代码完整，分析总结全面；
60-79：代码可运行，有分析总结；
60以下：代码或报告不合格。
迟交：一周内减10分，再迟计0分。
平时作业
20
10次理论课的课后作业，作业内容为针对每次课程内容知识点与重难点的理解与分析。
每次满分按10分计，累加折算。
9-10：自己总结且写作认真；
7-8：查阅网络材料，但直接摘抄；
5-6：拷贝PPT内容。
迟交减1分，不交不得分。
平时成绩
10
出勤情况与互动情况
基准分为7分，旷课一次减1分；
互动频次和质量综合考虑加1-3分。
      

1、课程目标达成考核与评价方式及成绩评定


考核与评价方式
成绩比例（%）

平时作业
课程实验
平时成绩
大作业
课程考试
课程目标1
支持毕业要求3
2
10
2
5

19
课程目标2
支持毕业要求3
5
5
3


13
支持毕业要求5
3


10

13
课程目标3
支持毕业要求3

5



5
支持毕业要求5
5

3
5

13
课程目标4
支持毕业要求3
3
5

5

13
支持毕业要求5

5



5
课程目标5
支持毕业要求3
2
5
2
5

14
支持毕业要求5

5



5
合计
20
40
10
30

100

2、考核与评价标准
实验评价标准：

基本要求
评价标准
成绩比例（%）
优秀
良好
合格
不合格
实验
能够根据实验指导书规定的实验目的与要求，进行多线程编程和多进程编程。同时熟悉运行和测试并行程序。
（支撑毕业要求3）
按照要求完成预习；按照实验安全操作规则进行实验；实验步骤与结果正确；实验机器设备完好。
能够预习，按照实验安全操作规则进行实验；实验步骤与结果正确；实验机器设备完好。
按照实验安全操作规则进行实验；实验步骤与结果基本正确；实验机器设备完好。
没有按照实验安全操作规则进行实验；或者实验步骤与结果不正确。
65
在并行程序的设计中，能够借助于已有的IDE开发工具实现快速高效开发，同时会使用一些并行调试工具进行程序的调试。
（支撑毕业要求5）
能够使用Eclipse工具完成并行程序的开发设计；能够熟练掌握并行程序的程序的部署和运行。 
能够使用Eclipse工具完成并行程序的开发设计；会并行程序的程序的部署和运行。
能够使用Eclipse工具完成并行程序的开发设计；了解并行程序的程序的部署和运行基本方法。
不能熟练的使用Eclipse进行并行程序设计和开发。
35
注：该表格中比例为实验考核成绩比例。

课程考试考核与评价标准

基本要求
评价标准
比例
优秀 
（0.9-1）
良好
（0.7-0.89）
合格（0.6-0.69）
不合格（0-0.59）
掌握并行计算基本知识
（支撑毕业要求3）
了解并行计算的基本概念及其基本的并行化方法，能够理解并行计算与传统的串行计算的区别与联系。熟悉并行程序性能评测的基本方法。
熟悉并行计算概念、并行计算应用领域、域分解、任务解。掌握并行计算机体系结构、内存访问模式、多核处理器、GPU、加速比、效率、加速比定律知识。
熟悉并行计算概念、并行计算应用领域、域分解、任务解。了解并行计算机体系结构、内存访问模式、多核处理器、GPU、加速比、效率、加速比定律知识。
了解并行计算概念、并行计算应用领域、域分解、任务解。掌握并行计算机体系结构、内存访问模式、 加速比、效率、加速比定律知识。
不清楚域分解与功能分解的区别；不了解加速比的定义及相关的定律； 
30
会使用openMP多线程和MPI多进程编程
（支撑毕业要求3）
了解OpenMP编程，能够编写基本的OpenMP程序。能够设计开发基本的MPI并行计算程序
了解OpenMP的思想与实现机制，及OpenMP的编程模型、编译制导语句。熟悉消息传递并行计算、MPI、通信模式。熟悉准确使用openMP和MPI进行并行程序的设计。
了解OpenMP和MPI的思想与实现机制，准确使用openMP和MPI进行并行程序的设计。
会进行使用openMP和MPI进行的一些并行程序的设计。
不了解openMP和MPI的编程模型，不会使用这两种编程模型进行编程。 
50
掌握并行程序设计的基本方法和思路（支撑毕业要求5）
能够完成从问题分析到并行计算方案设计的全过程。掌握PCAM方法的基本思想， 
熟练掌握PCAM方法学和并行编程模型。精通并行编程模式。
熟练掌握PCAM方法学和并行编程模型。了解并行编程模式。
会进行PCAM方法学和并行编程模型。了解并行编程模式。
不熟悉 PCAM并行编程方法
20









 

















并行计算课程
结 题 报 告
（模板）
                    




报告名称：

姓    名：

学    号：

联系电话：

电子邮箱：

填写日期：





2020年制


说明：所有说明文本，包括本行，请在提交前删除。正文字号不大于小四，行间距不大于1.25倍。标题字号不大于四号。

一、实验内容概述
	用自己的话，复述本课程对实验的要求（包括所要求的算法、并行计算环境、数据分析要求等）。
	不少于300字，但不要超过0.5页。

二、并行算法分析设计
	（以流程图、伪代码、框图等方式给出针对相应并行计算方式的算法设计思路，简述）
2.1 多线程求PI算法设计
2.2 多线程求矩阵转置算法设计
2.3 MPI求矩阵转置算法设计
2.4 Hadoop/Spark算法实现
合理排版，不超过2页。

三、实验数据分析
3.1 实验环境（CPU型号与参数、内存容量与带宽、互联网络参数等）
3.2 实验数据综合分析（此部分的分析至少要包括加速比、效率两个方面的内容，但建议最多附4张图）
合理排版，不超过3页。

"
