id,name,label
752,并行计算概念,knowledgepoint
753,并行计算应用领域,knowledgepoint
754,域分解,knowledgepoint
755,任务解,knowledgepoint
756,并行计算的性能,knowledgepoint
757,内存系统对性能的影响,knowledgepoint
758,加速比定律,knowledgepoint
759,多核处理器,knowledgepoint
760,内存访问模式,knowledgepoint
761,并行计算系统的分类,knowledgepoint
762,多线程基本概念,knowledgepoint
763,多线程计算实例分析,knowledgepoint
764,PThread多线程,knowledgepoint
765,Java多线程,knowledgepoint
766,OpenMP的编程模型,knowledgepoint
767,编译制导语句,knowledgepoint
768,GPU体系结构,knowledgepoint
769,CUDA程序设计方法,knowledgepoint
770,MPI概述,knowledgepoint
771,点到点通信,knowledgepoint
772,组通信,knowledgepoint
773,MPI数据类型,knowledgepoint
774,MPI+OpenMP混合编程,knowledgepoint
775,MPI+CUDA混合编程,knowledgepoint
776,MapReduce背景介绍,knowledgepoint
777,MapReduce编程模型,knowledgepoint
778,Hadoop/YARN,knowledgepoint
779,PCAM方法学,knowledgepoint
780,并行编程模型,knowledgepoint
781,Spark概述,knowledgepoint
782,Spark框架介绍,knowledgepoint
783,Spark编程模型,knowledgepoint
784,划分(Partitioning),knowledgepoint
785,通讯(Communication),knowledgepoint
786,组合(Agglomeration),knowledgepoint
787,映射(Mapping),knowledgepoint
788,证明构造性的定义,knowledgepoint
789,构造性赋值与蕴含,knowledgepoint
790,构造性逻辑的语法与形式推演,knowledgepoint
791,构造性逻辑与经典逻辑的区别,knowledgepoint
792,多运算代数系统定义和性质,knowledgepoint
793,格与子格的定义和性质,knowledgepoint
794,分配格与有补格的定义和性质,knowledgepoint
795,布尔代数的定义和性质,knowledgepoint
796,布尔表达式的定义和性质,knowledgepoint
797,网络流及最大流的定义,knowledgepoint
798,最小割的求解,knowledgepoint
799,有界网络流,knowledgepoint
800,最小费用最大流,knowledgepoint
801,无向图的连通性的特殊性质,knowledgepoint
802,有向图的连通性的特殊性质,knowledgepoint
803,支配和覆盖的定义,knowledgepoint
804,鸽巢原理与拉姆齐数,knowledgepoint
805,点的支配、覆盖和独立,knowledgepoint
806,边的覆盖和独立,knowledgepoint
807,匹配与因子分解,knowledgepoint
808,图的特征值与拉普拉斯型,knowledgepoint
809,邻接矩阵与关联矩阵相关算法,knowledgepoint
810,复杂网络的基本特征,knowledgepoint
811,计算系统的历史，网格和云,knowledgepoint
812,云计算的服务模型和部署模型,knowledgepoint
813,通信,knowledgepoint
814,时间,knowledgepoint
815,一致性,knowledgepoint
816,IaaS及虚拟化,knowledgepoint
817,抽象,knowledgepoint
818,虚拟化分类,knowledgepoint
819,服务器虚拟化,knowledgepoint
820,Hadoop系统,knowledgepoint
821,YARN,knowledgepoint
822,资源调度,knowledgepoint
823,有限自动机,knowledgepoint
824,非确定性,knowledgepoint
825,正则表达式,knowledgepoint
826,非正则语言,knowledgepoint
827,上下文无关文法,knowledgepoint
828,下推自动机,knowledgepoint
829,非上下文无关语言,knowledgepoint
830,图灵机,knowledgepoint
831,图灵机的变体,knowledgepoint
832,算法的定义,knowledgepoint
833,GPS,knowledgepoint
834,现代范型,knowledgepoint
835,经典搜索方法,knowledgepoint
836,启发式搜索,knowledgepoint
837,问题归约,knowledgepoint
838,博弈,knowledgepoint
839,遗传算法,knowledgepoint
840,模拟退火,knowledgepoint
841,约束满足,knowledgepoint
842,人工智能逻辑,knowledgepoint
843,经典逻辑,knowledgepoint
844,非经典逻辑,knowledgepoint
845,人工智能推理,knowledgepoint
846,精确推理,knowledgepoint
847,非精确推理,knowledgepoint
848,归结原理,knowledgepoint
849,行为推理,knowledgepoint
850,时空推理,knowledgepoint
851,概率推理,knowledgepoint
852,非结构表示,knowledgepoint
853,产生式系统,knowledgepoint
854,结构表示,knowledgepoint
855,Agent模型,knowledgepoint
856,Agent组织,knowledgepoint
857,学科概述,knowledgepoint
858,决策树,knowledgepoint
859,贝叶斯学习,knowledgepoint
860,安全攻击,knowledgepoint
861,安全模式,knowledgepoint
862,安全机制,knowledgepoint
863,对称加密和消息机密,knowledgepoint
864,分组密码,knowledgepoint
865,流密码和RC4,knowledgepoint
866,密钥分配和用户认证,knowledgepoint
867,网络访问控制和云安全,knowledgepoint
868,传输层安全,knowledgepoint
869,无线网络安全,knowledgepoint
870,IP安全,knowledgepoint
871,入侵者,knowledgepoint
872,防火墙,knowledgepoint
873,软件过程模型,knowledgepoint
874,软件开发方法,knowledgepoint
875,软件需求的基本概念,knowledgepoint
876,需求工程过程,knowledgepoint
877,软件需求获取技术,knowledgepoint
878,需求分析与建模,knowledgepoint
879,软件设计概述,knowledgepoint
880,软件体系结构设计,knowledgepoint
881,模块分解,knowledgepoint
882,程序设计语言的选择,knowledgepoint
883,结构化程序设计,knowledgepoint
884,程序设计风格,knowledgepoint
885,算法与程序效率,knowledgepoint
886,软件测试概述,knowledgepoint
887,白盒法测试,knowledgepoint
888,盒法测试,knowledgepoint
889,软件测试的策略,knowledgepoint
890,软件维护的基本概念,knowledgepoint
891,软件维护的过程,knowledgepoint
892,软件维护技术,knowledgepoint
893,软件可维护性,knowledgepoint
894,面向对象的概念,knowledgepoint
895,统一建模语言UML及十种视图,knowledgepoint
896,基于UML的软件开发过程,knowledgepoint
897,基于UML的需求分析,knowledgepoint
898,基于UML的需求建模,knowledgepoint
899,UML用例图的构建,knowledgepoint
900,UML类图构建，类之间的关系描述,knowledgepoint
901,使用IBM Rational Rose 进行需求建模,knowledgepoint
902,面向对象的软件设计过程,knowledgepoint
903,基于UML的设计,knowledgepoint
904,UML顺序图的构建,knowledgepoint
905,UML协作图的构建,knowledgepoint
906,UML状态图的构建,knowledgepoint
907,UML活动图的构建,knowledgepoint
908,使用IBM Rational Rose 进行设计实现建模,knowledgepoint
909,数据挖掘简介,knowledgepoint
910,数据挖掘的功能,knowledgepoint
911,数据挖掘的发展前沿,knowledgepoint
912,数据对象与属性类型,knowledgepoint
913,数据的基本统计描述,knowledgepoint
914,数据可视化,knowledgepoint
915,度量数据的相似性和相异性,knowledgepoint
916,数据预处理: 概述,knowledgepoint
917,数据抽取,knowledgepoint
918,数据清洗,knowledgepoint
919,数据集成,knowledgepoint
920,数据归约,knowledgepoint
921,数据变换与数据离散化,knowledgepoint
922,数据仓库,knowledgepoint
923,联机分析处理,knowledgepoint
924,数据仓库的体系结构,knowledgepoint
925,基本概念,knowledgepoint
926,经典算法,knowledgepoint
927,评估,knowledgepoint
928,分类、回归与聚类,knowledgepoint
929,分类的应用案例,knowledgepoint
930,分类概念,knowledgepoint
931,分类过程,knowledgepoint
932,常用的分类方法,knowledgepoint
933,聚类概述,knowledgepoint
934,典型应用,knowledgepoint
935,划分方法,knowledgepoint
936,层次方法,knowledgepoint
937,密度方法,knowledgepoint
938,回归概述,knowledgepoint
939,线性回归方法,knowledgepoint
940,多项式回归,knowledgepoint
941,非线性回归,knowledgepoint
942,Logistic回归,knowledgepoint
943,了解图像、数字图像像素的概念,knowledgepoint
944,了解图像处理的起源应用和系统,knowledgepoint
945,掌握图像表示的基础知识,knowledgepoint
946,了解彩色视觉和颜色模型,knowledgepoint
947,掌握彩色变换,knowledgepoint
948,掌握彩色图像的增强平滑和锐化,knowledgepoint
949,了解摄影的历史,knowledgepoint
950,掌握相机的成像原理,knowledgepoint
951,了解相机的结构,knowledgepoint
952,掌握相机的可控对象及摄像学属性,knowledgepoint
953,掌握图像的几何变换,knowledgepoint
954,掌握图像的点变换,knowledgepoint
955,掌握二维离散傅立叶变换及其应用,knowledgepoint
956,掌握离散余弦变换,knowledgepoint
957,掌握小波变换,knowledgepoint
958,掌握双目立体技术,knowledgepoint
959,了解主动式立体方法,knowledgepoint
960,掌握多视角立体方法,knowledgepoint
961,掌握几何表示方法,knowledgepoint
962,掌握纹理表示方法,knowledgepoint
963,了解场景表示方法的标准,knowledgepoint
964,图像插值,knowledgepoint
965,图像增强,knowledgepoint
966,图像的去噪,knowledgepoint
967,图像的去模糊,knowledgepoint
968,边缘检测,knowledgepoint
969,线条、圆形、目标检测,knowledgepoint
970,图像分割方法,knowledgepoint
971,图像压缩,knowledgepoint
972,生物信息学的基本概念,knowledgepoint
973,生物学的研究对象、发展历史及研究意义,knowledgepoint
974,基本的生物知识介绍,knowledgepoint
975,基因数据库,knowledgepoint
976,蛋白数据库,knowledgepoint
977,序列分析的数学问题,knowledgepoint
978,序列数据搜索,knowledgepoint
979,序列对比对,knowledgepoint
980,多序列比对,knowledgepoint
981,结构预测的数学问题,knowledgepoint
982,二级结构预测预测方法,knowledgepoint
983,二级结构预测评价方法,knowledgepoint
984,关联网络构建,knowledgepoint
985,时序网络构建,knowledgepoint
986,网络结构分析与评价,knowledgepoint
987,子网挖掘,knowledgepoint
988,计算机组成与体系结构,knowledgepoint
989,计算机体系结构中的伟大思想,knowledgepoint
990,性能评估,knowledgepoint
991,功耗墙,knowledgepoint
992,标准测试程序,knowledgepoint
993,计算机硬件的操作,knowledgepoint
994,计算机硬件的操作数,knowledgepoint
995,计算机中指令的表示,knowledgepoint
996,逻辑操作和决策指令,knowledgepoint
997,计算机硬件对过程的支持,knowledgepoint
998,寻址方式,knowledgepoint
999,数组与指针,knowledgepoint
1000,其它实例：ARMv7和x86,knowledgepoint
1001,处理器设计的方法和实现机制,knowledgepoint
1002,流水线概述,knowledgepoint
1003,流水线数据通路及其控制,knowledgepoint
1004,数据冒险,knowledgepoint
1005,控制冒险,knowledgepoint
1006,异常处理,knowledgepoint
1007,计算机多层存储体系,knowledgepoint
1008,Cache的基本原理,knowledgepoint
1009,Cache性能的评估和改进,knowledgepoint
1010,虚拟存储器,knowledgepoint
1011,独立磁盘冗余阵列,knowledgepoint
1012,实例：ARMCortexA8和IntelCorei7存储器层次结构,knowledgepoint
1013,指令级并行的基本概念,knowledgepoint
1014,静态多发射处理器,knowledgepoint
1015,动态多发射处理器,knowledgepoint
1016,分支预测技术,knowledgepoint
1017,实例：实例：ARM Cortex-A8和Intel Core i7流水线,knowledgepoint
1018,多处理器组织,knowledgepoint
1019,SISD、MIMD、SIMD、SPMD和向量机,knowledgepoint
1020,多核和其它共享内存多处理器,knowledgepoint
1021,集群、仓储级计算机和其他消息传递多处理器,knowledgepoint
1022,图形处理单元（自学）,knowledgepoint
1023,高速缓存一致性和MESI协议,knowledgepoint
1024,多处理器网络拓扑简介（自学）,knowledgepoint
1025,多处理器性能评测模型,knowledgepoint
1026,泡利矩阵,knowledgepoint
1027,Hermitian算子,knowledgepoint
1028,张量积,knowledgepoint
1029,算子函数,knowledgepoint
1030,奇异值分解,knowledgepoint
1031,量子状态向量,knowledgepoint
1032,量子演化,knowledgepoint
1033,量子测量,knowledgepoint
1034,复合量子系统,knowledgepoint
1035,量子系综,knowledgepoint
1036,密度算子的形式属性,knowledgepoint
1037,约简密度算子,knowledgepoint
1038,Schmidt分解和纯化,knowledgepoint
1039,EPR佯谬,knowledgepoint
1040,非局域性和上下文性,knowledgepoint
1041,Bell不等式和上下文不等式,knowledgepoint
1042,量子傅里叶变换及其应用,knowledgepoint
1043,量子搜索算法,knowledgepoint
1044,量子秘钥发布,knowledgepoint
1045,量子超密编码,knowledgepoint
1046,量子态远程传输,knowledgepoint
1047,量子信息论和量子纠错编码,knowledgepoint
1048,量子人工智能及量子认知基础,knowledgepoint
1049,量子力学的信息解释及基于信息解释的重构,knowledgepoint
1050,量子人工智能及量子认知算法,knowledgepoint
1051,统计学的基础,knowledgepoint
1052,信息论的基础,knowledgepoint
1053,HMM模型,knowledgepoint
1054,HMM模型所涉及的三类问题及其解决算法,knowledgepoint
1055,HMM模型在词性标记问题中的应用,knowledgepoint
1056,词语搭配概念,knowledgepoint
1057,搭配识别方案,knowledgepoint
1058,搭配的应用,knowledgepoint
1059,语义消歧概念,knowledgepoint
1060,预备知识,knowledgepoint
1061,有监督消歧,knowledgepoint
1062,基于词典的消歧,knowledgepoint
1063,无监督消歧,knowledgepoint
1064,概念、评价方法,knowledgepoint
1065,动词子范畴,knowledgepoint
1066,附着歧义,knowledgepoint
1067,选择倾向,knowledgepoint
1068,语义相似性,knowledgepoint
1069,概率上下文无关文法的概念,knowledgepoint
1070,PCFG基本问题和其算法,knowledgepoint
1071,PCFG的改进方案,knowledgepoint
1072,文本分类概念及过程,knowledgepoint
1073,贝叶斯分类、K近邻分类、最大熵分类、支持向量机分类,knowledgepoint
1074,文本聚类概念,knowledgepoint
1075,层次聚类和非层次聚类（K-Means聚类算法）,knowledgepoint
1076,机器翻译概述,knowledgepoint
1077,基于规则、实例和统计的机器翻译方案,knowledgepoint
1078,机器翻译评价,knowledgepoint
1079,利用互联网获取双语语料,knowledgepoint
1080,机器翻译的最新研究进展,knowledgepoint
1081,在线社会媒体与社会计算研究背景,knowledgepoint
1082,社会媒体与社会计算概念、主要研究内容,knowledgepoint
1083,社会媒体与社会计算主要研究内容,knowledgepoint
1084,信息检索概念,knowledgepoint
1085,信息检索的评价方法,knowledgepoint
1086,信息检索模型,knowledgepoint
1087,网络蜘蛛,knowledgepoint
1088,查询扩展,knowledgepoint
1089,Web页面评价机制,knowledgepoint
1090,文本处理,knowledgepoint
1091,多媒体检索,knowledgepoint
1092,深度学习的概述,knowledgepoint
1093,基于深度学习的自然语言处理简介,knowledgepoint
1094,建立完整的系统实现方案,knowledgepoint
1095,异构计算的基本概念,knowledgepoint
1096,异构并行计算平台,knowledgepoint
1097,异构编程环境与编程模型,knowledgepoint
1098,处理器,knowledgepoint
1099,异构存储,knowledgepoint
1100,异构网络,knowledgepoint
1101,异构计算系统体系结构分类,knowledgepoint
1102,NVIDIA GPU逻辑架构,knowledgepoint
1103,CUDA程序设计,knowledgepoint
1104,CUDA内存管理,knowledgepoint
1105,CUDA计算矩阵乘法,knowledgepoint
1106,CUDA动态规划算法,knowledgepoint
1107,CUDA排序,knowledgepoint
1108,OpenCL基本介绍,knowledgepoint
1109,OpenCL设备架构,knowledgepoint
1110,OpenCL计算二维卷积,knowledgepoint
1111,OpenCL计算矩阵乘法,knowledgepoint
1112,OpenCL混合粒子模拟,knowledgepoint
1113,OpenACC简介,knowledgepoint
1114,OpenCL计算构件,knowledgepoint
1115,数据管理,knowledgepoint
1116,高级特性,knowledgepoint
1117,SW26010处理器介绍,knowledgepoint
1118,存储模型,knowledgepoint
1119,执行模型,knowledgepoint
1120,计算机图形学和图形系统：,knowledgepoint
1121,图形系统的硬件和软件,knowledgepoint
1122,图形标准接口,knowledgepoint
1123,颜色、色调映射基础,knowledgepoint
1124,几何、坐标系、投影变换,knowledgepoint
1125,图形绘制流水线的基本框架和流程,knowledgepoint
1126,三维物体的定义及性质,knowledgepoint
1127,三维物体表示的特征参数、边界表示、实体构造、八叉树方法,knowledgepoint
1128,Bezier曲线曲面、NURBUS曲线曲面,knowledgepoint
1129,直线、圆光栅化绘制算法,knowledgepoint
1130,点、线、多边形的裁剪,knowledgepoint
1131,区域、多边形填充算法,knowledgepoint
1132,消隐算法,knowledgepoint
1133,环境光照模型,knowledgepoint
1134,漫反射光照模型,knowledgepoint
1135,镜面反射光照模型,knowledgepoint
1136,着色绘制法,knowledgepoint
1137,简单光投射模型光照模型,knowledgepoint
1138,光线跟踪绘制技术,knowledgepoint
1139,OpenGL基础 初步熟悉OpenGL图形系统,knowledgepoint
1140,OpenGL变换 熟练OpenGL变换,knowledgepoint
1141,OpenGL 光照 掌握OpenGL进行光照编程,knowledgepoint
1142,OpenGL画线、画圆算法,knowledgepoint
1143,编译过程概述,knowledgepoint
1144,编译程序的结构,knowledgepoint
1145,编译程序的生成,knowledgepoint
1146,编译技术和软件工具,knowledgepoint
1147,程序语言的定义,knowledgepoint
1148,高级语言的一般特征,knowledgepoint
1149,程序语言的文法,knowledgepoint
1150,词法分析器的作用,knowledgepoint
1151,词法分析器的设计,knowledgepoint
1152,词法分析器的自动生成,knowledgepoint
1153,正规表达式与有限自动机,knowledgepoint
1154,设计词法分析器的生成器,knowledgepoint
1155,语法分析器的功能,knowledgepoint
1156,文法的编写,knowledgepoint
1157,递归下降语法分析器,knowledgepoint
1158,预测语法分析器,knowledgepoint
1159,自底向上分析的基本问题,knowledgepoint
1160,算符优先分析法,knowledgepoint
1161,LR语法分析器,knowledgepoint
1162,中间语言,knowledgepoint
1163,声明语句,knowledgepoint
1164,赋值语句,knowledgepoint
1165,控制语句的翻译,knowledgepoint
1166,过程调用,knowledgepoint
1167,符号表的组织和作用,knowledgepoint
1168,符号表的整理与查找,knowledgepoint
1169,名字的作用范围,knowledgepoint
1170,符号表的内容,knowledgepoint
1171,源语言问题,knowledgepoint
1172,存储组织,knowledgepoint
1173,存储分配策略,knowledgepoint
1174,非局部名字的访问,knowledgepoint
1175,软件危机,knowledgepoint
1176,构件与软件重用,knowledgepoint
1177,软件体系结构的兴起和发展,knowledgepoint
1178,软件体系结构建模,knowledgepoint
1179,“4+1”视图模型,knowledgepoint
1180,软件体系结构的核心模型,knowledgepoint
1181,软件体系结构的生命周期,knowledgepoint
1182,软件体系结构抽象模型,knowledgepoint
1183,软件体系结构风格,knowledgepoint
1184,客户/服务器风格,knowledgepoint
1185,三层C/S结构风格,knowledgepoint
1186,浏览器/服务器风格,knowledgepoint
1187,公共对象请求代理体系结构正交软件体系结构,knowledgepoint
1188,基于层次消息总线的体系结构风格,knowledgepoint
1189,异构结构风格,knowledgepoint
1190,互连系统构成的系统及其体系结构,knowledgepoint
1191,特定领域软件体系结构,knowledgepoint
1192,软件体系结构描述方法,knowledgepoint
1193,软件体系结构描述框架,knowledgepoint
1194,体系结构描述语言,knowledgepoint
1195,典型的软件体系结构描述,knowledgepoint
1196,UML语言,knowledgepoint
1197,软件体系结构动态模型,knowledgepoint
1198,动态体系结构的描述,knowledgepoint
1199,动态体系结构特征,knowledgepoint
1200,Web服务体系结构模型,knowledgepoint
1201,Web服务的核心技术,knowledgepoint
1202,面向服务的软件体系结构,knowledgepoint
1203,Web服务的应用实例,knowledgepoint
1204,设计模式,knowledgepoint
1205,基于体系结构的设计方法,knowledgepoint
1206,体系结构的设计与演化,knowledgepoint
1207,于体系结构的软件开发模型,knowledgepoint
1208,体系结构的可靠性建模,knowledgepoint
1209, 软件体系结构的可靠性风险分析,knowledgepoint
1210,基于体系结构描述的软件测试方法,knowledgepoint
1211,软件体系结构评估的主要方式,knowledgepoint
1212,ATAM评估方法,knowledgepoint
1213,SAAM评估方法,knowledgepoint
1214,软件产品线的出现和发展,knowledgepoint
1215,框架和应用框架技术,knowledgepoint
1216,软件产品线基本活动,knowledgepoint
1217,软件产品线体系结构的设计,knowledgepoint
1218,软件产品线体系结构的演化,knowledgepoint
1219,大数据的概念与意义,knowledgepoint
1220,大数据来源,knowledgepoint
1221,大数据应用场景,knowledgepoint
1222,大数据处理方法,knowledgepoint
1223,大数据采集架构,knowledgepoint
1224,数据处理原理,knowledgepoint
1225,数据仓库与ETL工具,knowledgepoint
1226,数据挖掘概述,knowledgepoint
1227,数据挖掘分类,knowledgepoint
1228,数据挖掘聚类,knowledgepoint
1229,数据挖掘关联规则,knowledgepoint
1230,数据挖掘预测规模,knowledgepoint
1231,数据挖掘算法综合应用,knowledgepoint
1232,Mahout,knowledgepoint
1233,Spark MLlib,knowledgepoint
1234,其他数据挖掘工具,knowledgepoint
1235,R语言简介,knowledgepoint
1236,R与数据挖掘,knowledgepoint
1237,SparkR,knowledgepoint
1238,深度学习概述,knowledgepoint
1239,人脑神经系统与深度学习,knowledgepoint
1240,深度神经网络,knowledgepoint
1241,软硬件实现,knowledgepoint
1242,手写数字识别项目实例,knowledgepoint
1243,深度学习应用,knowledgepoint
1244,数据可视化的基础,knowledgepoint
1245,大数据可视化方法,knowledgepoint
1246,大数据可视化软件与工具,knowledgepoint
1247,互联网信息抓取,knowledgepoint
1248,文本分词,knowledgepoint
1249,倒排索引,knowledgepoint
1250,网页排序算法,knowledgepoint
1251,历史信息检索,knowledgepoint
1252,用户画像和精准营销,knowledgepoint
1253,广告推荐,knowledgepoint
1254,互联网金融,knowledgepoint
1255,个人贷款风险评估,knowledgepoint
1256,地震大数据,knowledgepoint
1257,交通大数据,knowledgepoint
1258,环境大数据,knowledgepoint
1259,警务大数据,knowledgepoint
1260,处理器设计,knowledgepoint
1261,微处理器的发展史,knowledgepoint
1262,指令集处理器设计,knowledgepoint
1263,处理器性能法则,knowledgepoint
1264,指令级并行处理,knowledgepoint
1265,标量流水线的局限性,knowledgepoint
