id,name,label
176,并行计算概述,knowledgeunit
177,并行计算的性能评测,knowledgeunit
178,并行计算硬件环境,knowledgeunit
179,多线程并行程序设计,knowledgeunit
180,OpenMP,knowledgeunit
181,GPU编程,knowledgeunit
182,MPI分布式编程,knowledgeunit
183,MPI多级混合编程,knowledgeunit
184,MapReduce编程,knowledgeunit
185,并行程序设计方法学,knowledgeunit
186,Spark编程,knowledgeunit
187,PCAM方法学,knowledgeunit
188,构造性逻辑,knowledgeunit
189,布尔代数,knowledgeunit
190,图与网络流,knowledgeunit
191,图的连通性,knowledgeunit
192,图的支配、覆盖、独立与匹配,knowledgeunit
193,图谱与复杂网络,knowledgeunit
194,云计算概念,knowledgeunit
195,云计算基础,knowledgeunit
196,虚拟化技术,knowledgeunit
197,云计算应用开发,knowledgeunit
198,正则语言,knowledgeunit
199,上下文无关语言,knowledgeunit
200,邱奇图灵论题,knowledgeunit
201,问题求解,knowledgeunit
202,逻辑与推理,knowledgeunit
203,人工智能知识表示,knowledgeunit
204,智能主体,knowledgeunit
205,机器学习,knowledgeunit
206,网络安全概念,knowledgeunit
207,密码学,knowledgeunit
208,网络安全应用,knowledgeunit
209,网络攻防技术,knowledgeunit
210,软件与软件工程,knowledgeunit
211,需求分析基础,knowledgeunit
212,软件设计基础,knowledgeunit
213,程序设计语言和编码,knowledgeunit
214,软件测试,knowledgeunit
215,软件维护,knowledgeunit
216,面向对象的需求分析,knowledgeunit
217,面向对象的设计方法,knowledgeunit
218,数据挖掘概述,knowledgeunit
219,数据挖掘认识数据,knowledgeunit
220,数据挖掘数据预处理,knowledgeunit
221,数据仓库与联机分析处理,knowledgeunit
222,关联规则,knowledgeunit
223,数据挖掘分类,knowledgeunit
224,数据挖掘聚类,knowledgeunit
225,回归分析,knowledgeunit
226,图像的基本概念,knowledgeunit
227,彩色图像处理,knowledgeunit
228,图像采集技术——摄影,knowledgeunit
229,图像的几何变换与点变换,knowledgeunit
230,图像的频域变换,knowledgeunit
231,基于图像的建模技术,knowledgeunit
232,3DTV中的场景表示技术,knowledgeunit
233,4DTV中的场景表示技术,knowledgeunit
234,5DTV中的场景表示技术,knowledgeunit
235,图像的增强,knowledgeunit
236,图像内容分析及压缩,knowledgeunit
237,生物信息学概述,knowledgeunit
238,生物数据管理技术,knowledgeunit
239,DNA及蛋白序列分析,knowledgeunit
240,蛋白质二级结构预测,knowledgeunit
241,生物网络建模与网络结构分析,knowledgeunit
242,计算机系统概要,knowledgeunit
243,指令：计算机的语言,knowledgeunit
244,处理器,knowledgeunit
245,大容量和高速度：开发存储器层次,knowledgeunit
246,指令级并行,knowledgeunit
247,从客户端到云的并行处理器,knowledgeunit
248,线性代数,knowledgeunit
249,量子状态向量形式化,knowledgeunit
250,密度算子形式化,knowledgeunit
251,量子信息,knowledgeunit
252,量子智能,knowledgeunit
253,自然语言处理基础知识,knowledgeunit
254,HMM（隐马尔科夫）模型及其在NLP中的应用,knowledgeunit
255,词语搭配,knowledgeunit
256,语义消歧,knowledgeunit
257,词汇获取,knowledgeunit
258,概率上下文无关文法（PCFG）,knowledgeunit
259,文本分类和聚类,knowledgeunit
260,自然语言处理机器翻译,knowledgeunit
261,在线社会媒体与社会计算,knowledgeunit
262,自然语言处理信息检索,knowledgeunit
263,深度学习与自然语言处理,knowledgeunit
264,课程大作业,knowledgeunit
265,异构计算概述,knowledgeunit
